"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode","b1test","name"
788850745,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",12.483611,54.984167,"Møn",1946,"7",12,"Denmark","1633208","Ove Almborn","LD","Magleby","General","GBIF",NA,82,"Pertusaria hymenea"
788850822,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.355278,54.756667,"Lolland",1946,"7",17,"Denmark","1633336","Ove Almborn","LD","Christianssæde","General","GBIF",NA,82,"Pertusaria hymenea"
788855236,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.495783,54.867183,"Jylland",1946,"7",20,"Denmark","1640184","Ove Almborn","LD","Hønsnap Skov","General","GBIF",NA,80,"Pertusaria hymenea"
2237905180,"84d26682-f762-11e1-a439-00145eb45e9a",11.81666,54.78333,NA,1943,"5",27,"Denmark","DMS-1039611","Mogens Skytte Christiansen",NA,"Fuglsang Storskov",NA,"GBIF",NA,81,"Pertusaria hymenea"
788853441,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.594444,54.921944,"Jylland",1939,"8",15,"Denmark","1637496","Ove Almborn","LD","Gråsten","General","GBIF",NA,81,"Pertusaria hymenea"
788854802,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",12.518333,54.999167,"Møn",1939,"8",6,"Denmark","1639544","Ove Almborn","LD","Liselund","General","GBIF",NA,78,"Pertusaria hymenea"
NA,NA,10.755049,54.02762,NA,1935,"9.6.1935",NA,"Deutschland",NA,"Erichsen","BERLIN_HTL","Scharbeutz",NA,"BERLIN_HTL",NA,84,"Pertusaria hymenea"
442146148,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.928333,47.71389,NA,1922,"5",25,"Germany","B 60 0038300 / 149685 / 91509","Lettau, G.","B","Schwarzwald: Wald am ""Rohrenkopf"" bei Gersbach (Wiesental), 1100 m.","Blettaucoll","GBIF",NA,65,"Pertusaria hymenea"
442146151,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.017777,48.063332,NA,1921,"8",17,"Germany","B 60 0038303 / 149691 / 91512","Lettau, G.","B","Schwarzwald: Thomashütte am Kandel, 1070 m.","Blettaucoll","GBIF",NA,62,"Pertusaria hymenea"
442146147,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.970834,50.521389,NA,1915,"8",10,"Germany","B 60 0038299b / 150709 / 91920","Lettau, G.","B","Thüringer Wald: 4) Masserberg - Goldisthal.","Blettaucoll","GBIF",NA,62,"Pertusaria hymenea"
442146149,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.838056,47.823334,NA,1911,"5",28,"Germany","B 60 0038301 / 149687 / 91510","Lettau, G.","B","[Schwarzwald] Baden: Belchen, Südabhang","Blettaucoll","GBIF",NA,61,"Pertusaria hymenea"
442146181,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.675,47.660557,NA,1911,"9",17,"Germany","B 60 0038887a / 152359 / 92579","Lettau, G.","B","Baden: ""R"" Röttler Wald (Lörrach), unweit Rechberger Hof","Blettaucoll","GBIF",NA,94,"Pertusaria hymenea"
442146145,"8589cc8c-f762-11e1-a439-00145eb45e9a",11.004723,50.519722,NA,1908,"5",27,"Germany","B 60 0038299 / 149682 / 91508","Lettau, G.","B","Thüringer Wald: 1) Oberhalb Goldisthal (Spenglershütte), 650-700 m.","Blettaucoll","GBIF",NA,62,"Pertusaria hymenea"
442146146,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.792222,50.679722,NA,1908,"6",7,"Germany","B 60 0038299a / 150707 / 91919","Lettau, G.","B","Thüringer Wald: 2) Oberhalb Bahnhof Gehlberg, 650 m.","Blettaucoll","GBIF",NA,62,"Pertusaria hymenea"
442146144,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.753612,49.443333,NA,1904,"3",14,"Germany","B 60 0038298 / 149680 / 91507","Lettau, G.","B","Baden: Oberhalb Peterstal bei Heidelberg, 350 m.","Blettaucoll","GBIF",NA,90,"Pertusaria hymenea"
442146150,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.850278,47.996113,NA,1902,"8",5,"Germany","B 60 0038302 / 149689 / 91511","Lettau, G.","B","[Schwarzwald] Baden: Zastler bei Freiburg im Breisgau, 800 m.","Blettaucoll","GBIF",NA,99,"Pertusaria hymenea"
NA,NA,8.559562,51.551091,NA,1863,"4.1863",NA,"Deutschland",NA,"Lahm","BERLIN_HTL","Büren",NA,"BERLIN_HTL",NA,84,"Pertusaria hymenea"
NA,NA,7.745211,51.910741,NA,1863,"1863",NA,"Deutschland",NA,"Nitschke","BERLIN_HTL","Wolbecker Tiergarten",NA,"BERLIN_HTL",NA,93,"Pertusaria hymenea"
NA,NA,7,51.5,NA,1859,"1859",NA,"Deutschland",NA,"C. Beckhaus","BERLIN_HTL","",NA,"BERLIN_HTL",NA,100,"Pertusaria hymenea"
