"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy","DB"
1945781922,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.825417,53.462917,2018,8,9,"Germany","54734-771","FR","Hamburg-Fischbek: Scharlbarg","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF"
1676072321,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.688083,52.6943,2016,6,20,"Germany","43346","FR","Autobahnrastplatz Allertal","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF"
1676070710,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.803611,45.748889,2011,6,23,"Italy","67340","FR","Prov. Verona, Lago di Garda, Malcesine, Loc. Caris, Via Caris","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF"
914864581,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.89445,51.326383,2010,9,22,"Germany","30034","FR","Oberlausitz, NSG Königsbrücker Heide, südlich der Dorfstelle Otterschütz","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF"
914864447,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.557633,46.3357,2003,8,1,"Slovenia","15456","FR","Julische Alpen, Bovec, Ortslage, bei der unteren Kirche","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF"
788555988,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",17.143056,48.638611,1968,7,17,"Slovakia","1313167","LD","Sastín-Stráze","General","Trnavsky kraj","J. Franclová & I. Pisút","GBIF"
NA,NA,11.21255,46.3134,1958,5.1958,NA,NA,"M-0301717","MUNICH_HTL","Italy, South Tyrol, Bozen, Burg Ravenstein",NA,NA,"J. Poelt","MUNICH_HTL"
788554253,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.424167,48.106944,1895,6,18,"Germany","1311409A","LD","Planegg","General","Bayern","Arnold","GBIF"
788554254,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.42322,48.9469,1895,9,15,"Germany","1311409B","LD","No locality information available","General","Bayern","Arnold","GBIF"
788554315,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.533333,48.072222,1894,10,21,"Germany","1311469","LD","Grosshesselohe","General","Bayern","Arnold","GBIF"
NA,NA,6.923225,51.604682,1861,8.1861,NA,"Deutschland",NA,"BERLIN_HTL","Kirchhellen",NA,NA,"Lahm","BERLIN_HTL"
