"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode","b1test","name"
914864617,"828a3d8c-f762-11e1-a439-00145eb45e9a",12.185833,47.231117,NA,1959,"8",5,"Austria","3972",NA,"FR","Hohe Tauern, Krimml, am Wege zum Falkenstein","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,51,"Punctelia jeckeri"
914864567,"828a3d8c-f762-11e1-a439-00145eb45e9a",11.18805,47.678883,NA,1958,"5",25,"Germany","8019",NA,"FR","Murnau, vor Seehausen am Fußsteig zum Staffelsee","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,81,"Punctelia jeckeri"
914864519,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.9075,48.339717,NA,1958,"12",18,"Germany","3962",NA,"FR","Augsburg, an der Einmündung der Ilsungstraße","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,84,"Punctelia jeckeri"
914864415,"828a3d8c-f762-11e1-a439-00145eb45e9a",22.483333,49.14305,NA,1956,"5",18,"Poland","3967",NA,"FR","Bieszczady Zachodnie, in vico Wetlina","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,51,"Punctelia jeckeri"
NA,NA,8.760192,50.479917,NA,1955,"3.5.1955",NA,"Deutschland",NA,"O. Behr","BERLIN_HTL","Eberstadt",NA,"BERLIN_HTL",NA,93,"Punctelia jeckeri"
NA,NA,9.0075,49.743197,NA,1952,"17.4.1952",NA,"Deutschland",NA,"O. Behr","BERLIN_HTL","Bad König",NA,"BERLIN_HTL",NA,93,"Punctelia jeckeri"
2449365723,"85739778-f762-11e1-a439-00145eb45e9a",6.7667,50.75,NA,1951,"4",26,"Germany","191538","Th. Müller","B","DEUTSCHLAND, Nordrhein-Westfalen: Kreis Euskirchen, Klein Vernich.","Lichen Herbarium Berlin","GBIF",NA,96,"Punctelia jeckeri"
914864552,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.345283,48.794717,NA,1949,"1",27,"Germany","3964",NA,"FR","Stetten/Remstal","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,94,"Punctelia jeckeri"
788548945,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.340556,48.791667,"Baden-Württemberg",1949,"2",10,"Germany","1306083","E. Putzler","LD","Stetten im Remstal","General","GBIF",NA,94,"Punctelia jeckeri"
788549423,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",6.14,46.203889,"Genève",1949,"5",28,"Switzerland","1306563","Ove Almborn","LD","Genève","General","GBIF",NA,102,"Punctelia jeckeri"
788549541,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",7.528333,46.977778,"Bern",1949,"5",22,"Switzerland","1306683","Ove Almborn","LD","Bantiger","General","GBIF",NA,78,"Punctelia jeckeri"
788549660,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.491944,47.349444,"Zürich",1949,"5",19,"Switzerland","1306803","Ove Almborn","LD","Uetliberg","General","GBIF",NA,84,"Punctelia jeckeri"
788549720,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",7.498611,46.976389,"Bern",1949,"5",22,"Switzerland","1306863","Ove Almborn","LD","Bolligen","General","GBIF",NA,84,"Punctelia jeckeri"
788604463,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",6.44548,45.47764,"Auvergne-Rhône-Alpes",1949,"5",30,"France","1363194","Ove Almborn","LD","No locality information available","General","GBIF",NA,61,"Punctelia jeckeri"
788604573,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",6.146944,46.221944,"Genève",1949,"5",27,"Switzerland","1363308","Ove Almborn","LD","Sécheron","General","GBIF",NA,102,"Punctelia jeckeri"
788604690,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",5.915556,45.689444,"Auvergne-Rhône-Alpes",1949,"5",30,"France","1363428","Ove Almborn","LD","Aix-les-Bains","General","GBIF",NA,111,"Punctelia jeckeri"
NA,NA,9.180819,48.782343,NA,1947,"29.3.1947",NA,"Deutschland",NA,"Putzker","BERLIN_HTL","Stuttgart",NA,"BERLIN_HTL",NA,91,"Punctelia jeckeri"
788604748,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",5.17735,52.09596,"Utrecht",1943,"8",6,"Netherlands","1363488","R. A. Maas Geesteranus","LD","No locality information available","General","GBIF",NA,93,"Punctelia jeckeri"
914864478,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.6125,47.61445,NA,1937,"10",1,"Germany","3971",NA,"FR","zwischen Betznau und Schleinsee","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,89,"Punctelia jeckeri"
914864466,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.094717,47.91055,NA,1926,"7",6,"Germany","3969",NA,"FR","Südlicher Schwarzwald, Hinterzarten, Straße nach Höllsteig","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,65,"Punctelia jeckeri"
NA,NA,16.049184,50.394014,NA,1926,"1926",NA,"Czech Republic",NA,"Kutak","BERLIN_HTL","České Skalice",NA,"BERLIN_HTL",NA,77,"Punctelia jeckeri"
NA,NA,7.654353,47.626623,NA,1912,"14.6.1912",NA,"Deutschland",NA,"G. Lettau","BERLIN_HTL","Lörrach, Tumringen",NA,"BERLIN_HTL",NA,97,"Punctelia jeckeri"
NA,NA,11.083333,47.5,NA,1904,"8.1904",NA,"Deutschland",NA,"Arnold","BERLIN_HTL","Garmisch",NA,"BERLIN_HTL",NA,73,"Punctelia jeckeri"
914864487,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.05,46.133333,NA,1899,"4",4,"Romania","24783",NA,"FR","Transsylvania, Langenthal","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,91,"Punctelia jeckeri"
