"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode"
2365720354,"85739778-f762-11e1-a439-00145eb45e9a",13.5833,53.1217,2019,"4",30,"Germany","201928","H. Sipman & D. Heinrich","B","GERMANY, Brandenburg: Uckermark, W of Ahrensdorf , E of Seehof. Alt. 60 m.","Lichen Herbarium Berlin",NA,"GBIF",NA
2365720355,"85739778-f762-11e1-a439-00145eb45e9a",13.305,52.4517,2019,"6",12,"Germany","201976","H. Sipman","B","GERMANY, Berlin:  Botanischer Garten Berlin-Dahlem, Arboretum, Pyrus field. Alt. ca. 40 m.","Lichen Herbarium Berlin",NA,"GBIF",NA
1946699725,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.854717,48.178617,2018,"5",24,"Slovakia","54464-771",NA,"FR","omoka, um den Waldparkplatz","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1949725388,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.440883,47.803417,2018,"5",21,"Slovakia","54334-771",NA,"FR","Búcs","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1949725389,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.740833,47.832783,2018,"5",21,"Slovakia","54378-771",NA,"FR","über Garamkövesd","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
2303272890,"828a3d8c-f762-11e1-a439-00145eb45e9a",24.187783,47.96305,2018,"7",19,"Ukraine","54684-771",NA,"FR","beim Mittelpunkt Europas","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1848984620,"858c1c6c-f762-11e1-a439-00145eb45e9a",8.706463,48.882392,2017,"12",5,"Germany","M-0290291 / 911650 / 469873","Dornes, A.P.","SNSB-M","DE, Baden-Württemberg, Schwarzwald-Randplatten: Pforzheim; Buckenberg, Kopernikusallee. In ca. 335 m. NN. MTB|Koor.: 7118/1 | 48.882392°, 08.706463°","BSMlichfungicoll",NA,"GBIF",NA
1657195730,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.27556,45.33528,2016,"4",5,"Croatia","000330131","Mayrhofer,Helmut & Prettner,Matthias","GZU","Primorsko-Goranska.Veprinac. neben Straße die vom asphaltiertem Sportplatz Richtung Zatka führt","Herbarium GZU",NA,"GBIF",NA
1657195737,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.27556,45.33528,2016,"4",5,"Croatia","000330177","Mayrhofer,Helmut & Prettner,Matthias","GZU","Primorsko-Goranska.Veprinac. neben Straße die vom asphaltiertem Sportplatz Richtung Zatka führt","Herbarium GZU",NA,"GBIF",NA
1676072330,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.06075,51.043667,2016,"6",26,"Germany","43404",NA,"FR","Leverkusen. Oulustraße","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676072351,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.059167,51.04255,2016,"6",26,"Germany","43561",NA,"FR","Leverkusen","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676072352,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.525967,50.88555,2016,"6",11,"Czechia","43578",NA,"FR","bei Teichstatt","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
2464717744,"f0ecd5eb-bc62-40fe-ab53-294cbb34a290",22.657056,48.207454,2016,"9",18,"Ukraine","CWU 202879","Alla Gromakova","CWU","near Berehove",NA,NA,"GBIF",NA
2013146438,"7948250c-6958-4a29-a670-ed1015b26252",7.0063,50.9577,2016,"11",26,"Germany","205550","S. Rui, E. Timdal","O","Köln, Mulheim, near Märchenbrunnen","L","Nordrhein-Westfalen","GBIF",NA
1836429507,"85739778-f762-11e1-a439-00145eb45e9a",5.31,52.1517,2016,"12",27,"Netherlands","195610","H. Sipman & A. Aptroot","B","THE NETHERLANDS, Utrecht: Soest, nature reserve Korte Duinen, afforestation in former Zonnegloren area. Alt. 10 m.","Lichen Herbarium Berlin",NA,"GBIF",NA
1676071657,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.294635,50.156017,2015,"1",9,"Germany","221516",NA,"FR","Hoher Taunus, das Theißtal westl. von Niedernhausen, Feldkreuz bei den Fischteichen","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1099343026,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.477783,51.403617,2015,"4",8,"Germany","39341",NA,"FR","bei Bärwalde","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1233566551,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.17555,50.008617,2015,"10",21,"Germany","40966",NA,"FR","bei Mainz, Schloß Waldhausen","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676071482,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.637194,49.638333,2014,"4",12,"Germany","217255",NA,"FR","Heppenheim, In den langen Äckern, Untersuchungegebiet 1, Aufnahmebaum 3","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676071496,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.996194,49.670389,2014,"4",27,"Germany","217292",NA,"FR","Michelstadt, auf einem Parkplatz am Roßbacher Weg, Untersuchungsgebiet 2, Aufnahmebaum 6","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676071526,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.664972,49.876528,2014,"6",22,"Germany","217356",NA,"FR","Darmstadt, Mathildenhöhe/Nikolaiweg, Untersuchungsgebiet 4, Aufnahmebaum 6","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676071581,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.698056,50.127889,2014,"6",17,"Germany","217365",NA,"FR","Frankfurt am Main, Eckenheimer Landstraße, Untersuchungsgebiet 5, Aufnahmebaum 2","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676071613,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.583734,50.077225,2014,"7",15,"Germany","218131",NA,"FR","Untermainebene, Frankfurt, Schwanheim, Schwanheimer Wald, Rechte Wiese"" östl. der Schwanheimer Bahnstraße""","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676071604,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.589444,50.077867,2014,"9",23,"Germany","221182",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1061246641,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.193617,50.946667,2014,"10",28,"Germany","38440",NA,"FR","Sebnitztal","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1086983739,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.87075,51.29705,2014,"10",2,"Germany","38768",NA,"FR","Königshöhe, 350 m WNW","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676071614,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.580556,50.08045,2014,"11",26,"Germany","221339",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676071617,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.580556,50.08045,2014,"11",26,"Germany","221338",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676071621,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.5775,50.080367,2014,"11",26,"Germany","221333",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676071656,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.580556,50.08045,2014,"11",26,"Germany","221341",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1099343027,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.6622,50.253633,2013,"8",27,"Germany","39260",NA,"FR","Bei Frichdrichsdorf - Burgholzhausen, Autobahnrastplatz","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1233566521,"828a3d8c-f762-11e1-a439-00145eb45e9a",16.551067,45.911667,2013,"8",28,"Croatia","37514",NA,"FR","bei Stari Glog","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1212224590,"85739778-f762-11e1-a439-00145eb45e9a",5.26,52.1433,2013,"12",28,"Netherlands","186228","H. Sipman & A. Aptroot","B","THE NETHERLANDS, Utrecht: Soesterberg, former airfield, near ecoduct Op Hees. Alt. 10 m.","Lichen Herbarium Berlin",NA,"GBIF",NA
788729059,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",6.203056,45.826944,2011,"1",8,"France","1493960","A. Thell","LD","Duingt","General","Auvergne-Rhône-Alpes","GBIF",NA
914864638,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.532217,51.926383,2011,"3",27,"Germany","29452",NA,"FR","zwischen Tauer & Bärenklau, unweit von Krolls Lauch","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676070722,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.803611,45.748333,2011,"6",20,"Italy","67838",NA,"FR","Prov. Verona, Lago di Garda, Malcesine, Loc. Caris, Via Caris","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
914864456,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.87195,51.517783,2011,"8",16,"Germany","29518",NA,"FR","Schipkau","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
914864555,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.691667,50.92805,2011,"9",30,"Germany","31822",NA,"FR","Niederoderwitz","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
914864690,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.691667,50.92805,2011,"9",30,"Germany","31941",NA,"FR","Wald zwischen Spitzkunnersdorf und Hainewalde","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1676069877,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.2725,50.141111,2011,"12",3,"Germany","218395-P3404",NA,"FR","Wiesbaden, Naurod. Taunus, nordwestlich Kellerskopf im Trockenborn.","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA
1212215412,"85739778-f762-11e1-a439-00145eb45e9a",13.1232,52.4332,2010,"8",30,"Germany","122071","H. Sipman, P. & B. v.d. Boom","B","GERMANY, Berlin: southern part of lake Wannsee, island Pfaueninsel. Alt. c. 40 m.","Lichen Herbarium Berlin",NA,"GBIF",NA
