"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
NA,NA,17.151389,48.641667,1969,"17.7.1968",NA,NA,"M-0301720","J. Franclová & I. Pišút","MUNICH_HTL","Slovakia, Záhorská nížina, near Šaštínske Stráže",NA,NA,"MUNICH_HTL",NA,93,"Punctelia subrudecta"
2449364634,"85739778-f762-11e1-a439-00145eb45e9a",7.45,47.9333,1967,NA,NA,"France","178841","H. Reznik","B","FRANCE, Dep. Haut-Rhin: Alsace, Rüstenhart near Colmar.","Lichen Herbarium Berlin",NA,"GBIF",NA,101,"Punctelia subrudecta"
NA,NA,6.900183,50.623883,1963,"09. Aug.",NA,"GERMANY","97684","H. Breuer","BERLIN_DB","DEUTSCHLAND, Nordrhein-Westfalen: Flamersheimer Wald, bei Rheinbach.",NA,NA,"BERLIN_DB","B 60 0141436",88,"Punctelia subrudecta"
NA,NA,6.944316,50.597448,1962,"30. Mai",NA,"GERMANY","97683","H. Breuer","BERLIN_DB","DEUTSCHLAND, Nordrhein-Westfalen: Kr. Bonn, Rheinbach, Schwarzes Kreuz.",NA,NA,"BERLIN_DB","B 60 0141451",89,"Punctelia subrudecta"
2449356615,"85739778-f762-11e1-a439-00145eb45e9a",8.5333,49.2833,1960,"10",2,"Germany","178700","H. Reznik","B","GERMANY, Baden-Württemberg: Nordbaden, Hubwald near Neu-Lussheim.","Lichen Herbarium Berlin",NA,"GBIF",NA,103,"Punctelia subrudecta"
2449363698,"85739778-f762-11e1-a439-00145eb45e9a",8.4167,48.7,1960,"11",29,"Germany","178776","H. Reznik","B","GERMANY, Baden-Württemberg: Nordschwarzwald, im oberen Reichental, unterhalb Kaltenbronn.","Lichen Herbarium Berlin",NA,"GBIF",NA,69,"Punctelia subrudecta"
NA,NA,8.672248,49.448729,1960,"07. Febr.",NA,"GERMANY","178727","H. Reznik","BERLIN_DB","GERMANY, Baden-Württemberg: Nordbaden, Odenwald - Bergstraße, Kirchberg bei Dossenheim, Eichen auf dem Gipfelplateau. Alt. 320 m.",NA,NA,"BERLIN_DB","B 60 0174500",97,"Punctelia subrudecta"
NA,NA,8.752367,49.442806,1960,"24. Febr.",NA,"GERMANY","178709","P. Martens","BERLIN_DB","GERMANY, Baden-Württemberg: Nordbaden, Odenwald, Peterstal bei Heidelberg.",NA,NA,"BERLIN_DB","B 60 0174497",90,"Punctelia subrudecta"
NA,NA,8.712455,49.469688,1960,"01. Febr.",NA,"GERMANY","178710","H. Reznik","BERLIN_DB","GERMANY, Baden-Württemberg: Nordbaden, Odenwald, Wendenkopf bei Schriesheim an der Bergstraße.",NA,NA,"BERLIN_DB","B 60 0174498",90,"Punctelia subrudecta"
NA,NA,8.564595,49.276059,1959,"Mai  .",NA,"GERMANY","178712","H. Reznik","BERLIN_DB","GERMANY, Baden-Württemberg: Nordbaden, Oberrhein-Ebene, Quercus im Kiefernwald südlich Reilingen.",NA,NA,"BERLIN_DB","B 60 0174499",103,"Punctelia subrudecta"
914864469,"828a3d8c-f762-11e1-a439-00145eb45e9a",22.666667,49.1375,1958,"9",20,"Poland","3961",NA,"FR","Bieszczady Zachodnie, prope rivulum Wolosaty in vico Berezki","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,54,"Punctelia subrudecta"
NA,NA,6.444977,49.855731,1958,"März",NA,"GERMANY","97686","H. Breuer","BERLIN_DB","DEUTSCHLAND, Rheinland-Pfalz: Kr. Bitburg, Irrel, Wasserfälle.",NA,NA,"BERLIN_DB","B 60 0141434",87,"Punctelia subrudecta"
914864706,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.457217,49.92555,1957,"4",13,"Germany","3966",NA,"FR","Dockendorf","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,86,"Punctelia subrudecta"
