"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
2365720357,"85739778-f762-11e1-a439-00145eb45e9a",13.88,53.1367,2019,"4",29,"Germany","201926","H. Sipman & D. Heinrich","B","GERMANY, Brandenburg: Uckermark, NSG Fauler Ort, 1 km N of Pfingstberg. Alt. 60 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,84,"Pyrenula nitida"
2464501751,"8f7e3c45-4d76-4982-9478-651439e0cd4b",18.515806,54.396611,2017,"9",27,"Poland","TU84652","Ave Suija","TU(M)","Pojezierze Kaszubskie, Trójmiejski Landscape Park, Gdańsk Oliwa, Dolina Radości valley",NA,NA,"GBIF",NA,61,"Pyrenula nitida"
1638418989,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.225,45.3275,2016,"4",6,"Croatia","000330064","Mayrhofer,Helmut, Prettner,Matthias & Grozić,Dino","GZU","Primorsko-Goranska. Učka. Passstraße zwischen Poklon und Veprinac. Panjak fireroad, NE von Ravne staje","Herbarium GZU",NA,"GBIF",NA,93,"Pyrenula nitida"
914898941,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.685283,52.706667,2011,"4",24,"Poland","35769",NA,"FR","Gestellweg ""Zielony Tryb"" nördlich der Straße Hajnowka - Bia&#322;owie&#380;a","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,69,"Pyrenula nitida"
991959732,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.741667,52.725,2011,"4",23,"Poland","37279",NA,"FR","Feuchtwald südwestlich von Teremiski","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,70,"Pyrenula nitida"
1099073681,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.365271,48.033722,2010,"9",29,"Germany","M-0140829 / 217462 / 157306","Beck, A.","SNSB-M","Germany, Bayern, Stadt Starnberg. Im Buchenwäldchen bei Leutstetten gegenüber Mühltal. Auf Rinde von Fagus sylvatica, ca. 1 m über dem Boden, Ca. 620 m alt. 11.365 E, 48.034 N.","BSMlichenscoll",NA,"GBIF",NA,79,"Pyrenula nitida"
1212215362,"85739778-f762-11e1-a439-00145eb45e9a",13.8217,53,2009,"5",9,"Germany","120029","H. Sipman & D. Heinrich","B","GERMANY, Brandenburg: Uckermark, E of Templin, 2 km S of Glambeck, Jagen 334. Alt. c. 50 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,85,"Pyrenula nitida"
NA,NA,6.260372,50.530038,2006,"11-Apr",NA,"GERMANY","109177","A. Aptroot","BERLIN_DB","DEUTSCHLAND, Nordrhein-Westfalen: Eifel, Monschau-Höfen, Naturhaus Seebens, Hauptstr. 123",NA,NA,"BERLIN_DB","B 60 0173897",71,"Pyrenula nitida"
NA,NA,13.44944,54.0815,2005,"18-Mar",NA,"GERMANY","109230","A. Aptroot","BERLIN_DB","DEUTSCHLAND, Mecklenburg-Vorpommern: Greifswald, Eldena forest.",NA,NA,"BERLIN_DB","B 60 0173946",82,"Pyrenula nitida"
1935715947,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.85417,47.26528,2003,"4",18,"Austria","0042596","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Schönegg, Hinteregg, am Kroisbach oberhalb Schönau, Unterhang und Au am Kroisbach, NE bis NNE des Gehöftes Holzmann [410 m, 8761/1 (47°15'55""N, 15°51'15""E ±300 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau]","Herbarium GJO",NA,"GBIF",NA,80,"Pyrenula nitida"
