"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
NA,NA,22.215278,48.919583,1967,"27.4.1967",NA,NA,"M-0302865","I. Pišút","MUNICH_HTL","Slovakia, Vihorlat, Mt. Veža",NA,NA,"MUNICH_HTL",NA,59,"Pyrenula nitida"
2237866961,"84d26682-f762-11e1-a439-00145eb45e9a",11.55212,54.72352,1952,"4",13,"Denmark","DMS-1004713","Mogens Skytte Christiansen",NA,"Favrsted Skov",NA,NA,"GBIF",NA,81,"Pyrenula nitida"
2237904111,"84d26682-f762-11e1-a439-00145eb45e9a",12.54132,54.97663,1948,"6",3,"Denmark","DMS-1037846","Knud Andersen",NA,"Møns Klint",NA,NA,"GBIF",NA,78,"Pyrenula nitida"
986635,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.355278,54.756667,1946,"7",17,"Denmark","1091342","Ove Almborn","LD","Christianssæde","General","Lolland","GBIF",NA,82,"Pyrenula nitida"
986640,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",10.844167,54.997222,1946,"7",18,"Denmark","1091534","Ove Almborn","LD","Tranekær","General","Langeland","GBIF",NA,82,"Pyrenula nitida"
1212186244,"85739778-f762-11e1-a439-00145eb45e9a",13.6,50.965,1945,"4",2,"Germany","21352","H. Reimers","B","DEUTSCHLAND, Sachsen: Unteres Erzgebirge. Tharandt, NSG Weißeritztalhänge, Hartenbachfälle, mittlerer Teil.","Lichen Herbarium Berlin",NA,"GBIF",NA,78,"Pyrenula nitida"
985745,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.798333,54.722778,1943,"5",27,"Denmark","1010703","M. Skytte-Christiansen","LD","Fuglsang","General","Lolland","GBIF",NA,82,"Pyrenula nitida"
986639,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.9475,54.811111,1943,"5",31,"Denmark","1091470","M. Skytte-Christiansen","LD","No locality information available","General","Falster","GBIF",NA,82,"Pyrenula nitida"
2237908272,"84d26682-f762-11e1-a439-00145eb45e9a",12.550935,54.965642,1943,"6",5,"Denmark","DMS-1043579","Mogens Skytte Christiansen",NA,"Maglevands Fald",NA,NA,"GBIF",NA,81,"Pyrenula nitida"
152949264,"89579e3e-f762-11e1-a439-00145eb45e9a",14.078647,46.299642,1939,"4",15,"Slovenia","F774601","Dolšak F.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,71,"Pyrenula nitida"
986637,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",12.518333,54.999167,1939,"8",6,"Denmark","1091406","Ove Almborn","LD","Liselund","General","Møn","GBIF",NA,78,"Pyrenula nitida"
986643,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",12.547778,54.970833,1939,"8",6,"Denmark","1091726","Ove Almborn","LD","Store Klint","General","Møn","GBIF",NA,81,"Pyrenula nitida"
914898892,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.25,49.095,1936,"7",8,"Germany","535",NA,"FR","Bayrischer Wald, Zwieseler Waldhaus","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,46,"Pyrenula nitida"
914898747,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.7475,54.344167,1935,"9",6,"Germany","538",NA,"FR","Rügen, Göhren","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,84,"Pyrenula nitida"
NA,NA,15.608333,50.725278,1934,"1934",NA,NA,"M-0302868","V. Kutak","MUNICH_HTL","Czech Republic, Bohemia, Riesengebirge, Spindelmühle",NA,NA,"MUNICH_HTL",NA,43,"Pyrenula nitida"
NA,NA,13.476928,54.374187,1929,"18-May",NA,"GERMANY","116730","V. J. Grummann","BERLIN_DB","DEUTSCHLAND, Mecklenburg-Vorpommern: Rügen, Pastitzer Forst.",NA,NA,"BERLIN_DB","",81,"Pyrenula nitida"
1212213540,"85739778-f762-11e1-a439-00145eb45e9a",13.6333,54.3833,1928,"7",17,"Germany","116434","V. J. Grummann","B","DEUTSCHLAND, Mecklenburg-Vorpommern: Rügen, Granitz bei Binz.","Lichen Herbarium Berlin",NA,"GBIF",NA,81,"Pyrenula nitida"
NA,NA,13.644084,54.546981,1928,"23-Jul",NA,"GERMANY","117478","V. J. Grummann","BERLIN_DB","DEUTSCHLAND, Mecklenburg-Vorpommern: Rügen, Stubnitz.",NA,NA,"BERLIN_DB","",77,"Pyrenula nitida"
NA,NA,13.464913,48.927749,1923,"6-Jul",NA,"GERMANY","119144","V. J. Grummann","BERLIN_DB","DEUTSCHLAND, Bayern: Böhmerwald, unterhalb Waldhäuser.",NA,NA,"BERLIN_DB","",42,"Pyrenula nitida"
1212213392,"85739778-f762-11e1-a439-00145eb45e9a",17.3667,50.3,1922,"4",11,"Poland","115742","V. J. Grummann","B","Altvatergebirge [Hrubý Jeseník], Ziegenhals [Głuchołazy], Hohenzollernwarte südlich.","Lichen Herbarium Berlin",NA,"GBIF",NA,74,"Pyrenula nitida"
914898851,"828a3d8c-f762-11e1-a439-00145eb45e9a",17.375,50.302783,1922,"4",11,"Poland","537",NA,"FR","Altvatergebirge, Bad Ziegenhals (Glucholazy)","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,77,"Pyrenula nitida"
442147936,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.739444,47.551945,1920,"4",25,"Germany","B 60 0128130a / 152036 / 92468","Lettau, G.","B","Baden: 2) Merkhof bei Herten, im ""Leuengraben"", 320 m.","Blettaucoll",NA,"GBIF",NA,96,"Pyrenula nitida"
442147928,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.319445,50.979168,1915,"8",26,"Germany","B 60 0128127b / 152020 / 92460","Lettau, G.","B","Thüringer Wald: 3) Annatal bei Eisenach","Blettaucoll",NA,"GBIF",NA,80,"Pyrenula nitida"
442147933,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.881667,47.595276,1914,"4",10,"Germany","B 60 0128129a / 152030 / 92465","Lettau, G.","B","Schwarzwald, Baden: 3) Wald am Rhein gegenüber Niederschwörstadt","Blettaucoll",NA,"GBIF",NA,94,"Pyrenula nitida"
442147905,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.789444,47.560276,1912,"2",18,"Germany","B 60 0128119 / 151968 / 92444","Lettau, G.","B","Baden: Hollwanger Wald (Säckingen resp. Rheinfelden)","Blettaucoll",NA,"GBIF",NA,99,"Pyrenula nitida"
442147922,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.818889,47.620277,1912,"7",7,"Germany","B 60 0128124d / 152002 / 92455","Lettau, G.","B","Baden: 4) Nordschwaben - Minseln","Blettaucoll",NA,"GBIF",NA,94,"Pyrenula nitida"
442147932,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.928333,47.71389,1912,"9",22,"Germany","B 60 0128129 / 152028 / 92464","Lettau, G.","B","Schwarzwald, Baden: 1) Rohrenkopf bei Gersbach, 1050 m.","Blettaucoll",NA,"GBIF",NA,65,"Pyrenula nitida"
442147920,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.695833,47.645557,1911,"9",17,"Germany","B 60 0128124c / 151999 / 92454","Lettau, G.","B","Baden: 3) Sormatt-Tälchen bei Hauingen","Blettaucoll",NA,"GBIF",NA,94,"Pyrenula nitida"
442147913,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.823056,47.65139,1911,"12",17,"Germany","B 60 0128124 / 151991 / 92452","Lettau, G.","B","Baden: 1) Entegast bei Schopfheim","Blettaucoll",NA,"GBIF",NA,92,"Pyrenula nitida"
442147902,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.740833,47.644165,1910,"6",12,"Germany","B 60 0128118 / 151962 / 92442","Lettau, G.","B","Baden: 1) Steinen - Hägelberg, bei Lörrach","Blettaucoll",NA,"GBIF",NA,94,"Pyrenula nitida"
442147918,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.675,47.660557,1910,"6",5,"Germany","B 60 0128124b / 151996 / 92453","Lettau, G.","B","Baden: 2) Röttler Wald","Blettaucoll",NA,"GBIF",NA,94,"Pyrenula nitida"
442147907,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.001111,47.740276,1910,"8",29,"Germany","B 60 0128120 / 151973 / 92445","Lettau, G.","B","[Schwarzwald etc.] Baden: 1) Todtmoos - Gersbach","Blettaucoll",NA,"GBIF",NA,63,"Pyrenula nitida"
442147891,"8589cc8c-f762-11e1-a439-00145eb45e9a",11.176111,50.662498,1909,"8",29,"Germany","B 60 0128062a / 151414 / 92218","Lettau, G.","B","Thüringen: 2) Fasanerie-Bechstedt","Blettaucoll",NA,"GBIF",NA,74,"Pyrenula nitida"
442147926,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.970834,50.521389,1908,"5",27,"Germany","B 60 0128127a / 152017 / 92459","Lettau, G.","B","Thüringer Wald: 2) Masserberg, 820 m.","Blettaucoll",NA,"GBIF",NA,62,"Pyrenula nitida"
442147924,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.616389,50.794724,1908,"7",21,"Germany","B 60 0128126 / 152011 / 92457","Lettau, G.","B","Thüringer Wald: Apfelstädtgrund bei Tambach, 550 m.","Blettaucoll",NA,"GBIF",NA,70,"Pyrenula nitida"
442147938,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.944445,50.838333,1908,"8",28,"Germany","B 60 0128131a / 152040 / 92470","Lettau, G.","B","Thüringen, Arnstadt: 2) Eremitage - Wasserleite, 350 m.","Blettaucoll",NA,"GBIF",NA,80,"Pyrenula nitida"
442147931,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.8625,50.636391,1908,"9",27,"Germany","B 60 0128128b / 152026 / 92463","Lettau, G.","B","Thüringer Wald: 2) Oberhalb Stützerbach, 650-700 m.","Blettaucoll",NA,"GBIF",NA,62,"Pyrenula nitida"
442147929,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.916945,50.685833,1907,"6",21,"Germany","B 60 0128128 / 152021 / 92461","Lettau, G.","B","Thüringer Wald: Gabelbach bei Ilmenau, 720 m.","Blettaucoll",NA,"GBIF",NA,70,"Pyrenula nitida"
442147930,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.792222,50.679722,1907,"6",16,"Germany","B 60 0128128a / 152024 / 92462","Lettau, G.","B","Thüringer Wald: 1) Schnabelbachtal bei Gehlberg, 650 m.","Blettaucoll",NA,"GBIF",NA,62,"Pyrenula nitida"
442147925,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.789444,50.756943,1907,"9",8,"Germany","B 60 0128127 / 152015 / 92458","Lettau, G.","B","Thüringer Wald: 1) Oberhalb Dörrberg, 450 m.","Blettaucoll",NA,"GBIF",NA,67,"Pyrenula nitida"
NA,NA,13.812149,52.830218,1903,"Feb.",NA,"GERMANY","3909","Stockmann","BERLIN_DB","DEUTSCHLAND, Brandenburg: Eberswalde, Schwärzethal.",NA,NA,"BERLIN_DB","",87,"Pyrenula nitida"
986629,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",12.301944,54.968056,1873,NA,NA,"Denmark","1090272","P. J. Hellbom","LD","Møn","General","Møn","GBIF",NA,83,"Pyrenula nitida"
914898611,"828a3d8c-f762-11e1-a439-00145eb45e9a",12.461667,54.028617,1872,NA,NA,"Germany","10397",NA,"FR","Tessin","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,83,"Pyrenula nitida"
NA,NA,10.964949,53.733773,1861,"20. Nov.",NA,"GERMANY","3185","H. Brockmüller (?)","BERLIN_DB","(DEUTSCHLAND, Mecklenburg-Vorpommern:) An Buchen und Hainbuchen im Woitendorfer Holz (Bei Rehna).",NA,NA,"BERLIN_DB","",83,"Pyrenula nitida"
