"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","recordedBy","stateProvince","DB","BBarcode"
914898955,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.816667,52.70695,2011,"4",24,"Poland","35785","FR","Bia&#322;owie&#380;a, am Waldpfad ""Zebra Zubra""","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",NA
1930708632,"d415c253-4d61-4459-9d25-4015b9084fb0",15.5708,47.2083,2009,"10",26,"Austria","03303859","NY","Steiermark (=Styria), Eastern Alps, Styrian Fringe Mountains, Grazer Bergland, Raabklamm (orographically right side of the river Raab), 4.3 km west-southwest of Weiz, 0.2 km northwest of a water power station, near a dilapidated saw mill. (grid number 8759/3)","NY","J. Hafellner","Styria","GBIF",NA
1212221118,"85739778-f762-11e1-a439-00145eb45e9a",13.7833,48.49,1999,"10",31,"Austria","138387","B","AUSTRIA, Oberösterreich (=Upper Austria), Mühlviertel, Bezirk Rohrbach, Gemeinde Pfarrkirchen, 25 km SE of Passau, 400 m S of the ruins of Falkenstein, valley of the river Ranna. Alt. 370 m.","Lichen Herbarium Berlin","F. Berger",NA,"GBIF",NA
2270773107,"98bceab6-3c3e-4163-945d-6ca10576ebf1",13.783333,48.490278,1999,"10",31,"Austria","503609","ASU","Mühlviertel, Bezirk Rohrbach, Gemeinde Pfarrkirchen, 25 km SE of Passau, 400 m S of the ruins of Falkenstein, valley of the river Ranna, MTB 7548/2",NA,"F. Berger","Upper Austria","GBIF",NA
1717231331,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.39,53.41,1996,"7",30,"Poland",NA,"UoB-IB","res. Starodrzew Szyndzielski",NA,"K. Kolanko","podlaskie","GBIF",NA
1717231598,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.4,53.23,1994,"3",29,"Poland",NA,"UoB-IB","Czołnowo",NA,"K. Kolanko","podlaskie","GBIF",NA
1717231603,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.4,53.23,1994,"3",29,"Poland",NA,"UoB-IB","Czołnowo",NA,"K. Kolanko","podlaskie","GBIF",NA
1717229475,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.29,53.51,1993,"5",13,"Poland",NA,"UoB-IB","res. Budzisk",NA,"K. Kolanko","podlaskie","GBIF",NA
1717231590,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.29,53.51,1993,"5",13,"Poland",NA,"UoB-IB","res. Budzisk",NA,"K. Kolanko","podlaskie","GBIF",NA
1717231596,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.29,53.51,1993,"5",13,"Poland",NA,"UoB-IB","res. Budzisk",NA,"K. Kolanko","podlaskie","GBIF",NA
1717231665,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.29,53.51,1993,"5",13,"Poland",NA,"UoB-IB","res. Budzisk",NA,"K. Kolanko","podlaskie","GBIF",NA
125714479,"84cdd6d0-f762-11e1-a439-00145eb45e9a",14,55,1993,"10",NA,"Denmark","3139","C","Bornholm, Ekkodalen","L","Mona Nissen","Bornholm","GBIF",NA
1717231517,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.29,53.51,1993,"10",21,"Poland",NA,"UoB-IB","res. Budzisk",NA,"K. Kolanko","podlaskie","GBIF",NA
1717231657,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.29,53.51,1993,"10",21,"Poland",NA,"UoB-IB","res. Budzisk",NA,"K. Kolanko","podlaskie","GBIF",NA
1717231666,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.29,53.51,1993,"10",21,"Poland",NA,"UoB-IB","res. Budzisk",NA,"K. Kolanko","podlaskie","GBIF",NA
1717231667,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.29,53.51,1993,"10",21,"Poland",NA,"UoB-IB","res. Budzisk",NA,"K. Kolanko","podlaskie","GBIF",NA
