"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode"
1676074987,"828a3d8c-f762-11e1-a439-00145eb45e9a",6.79,47.810417,NA,2016,"9",17,"France","49068-771",NA,"FR","St. Antoine, Waldreservat","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1676074992,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.01725,47.960633,NA,2016,"9",15,"France","49100-771",NA,"FR","bei Gerbholz südlich von Mittlach, über dem Tal des Vorderen Salzbaches","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1842840855,"61a9ca38-b62f-11e2-afcb-00145eb45e9a",8.2,48.6,NA,2016,"9",3,"Germany","KR-M-0052033 / 651356 / 147682",NA,"SMNK","NSG ""Wilder See - Hornisgrinde"", der Seekopf, ostexponierte Karwand; BWS","SMNKfungicoll","GBIF",NA
1842840871,"61a9ca38-b62f-11e2-afcb-00145eb45e9a",8.2,48.6,NA,2016,"9",3,"Germany","KR-M-0052064 / 651519 / 147691",NA,"SMNK","NSG ""Wilder See - Hornisgrinde"", der Seekopf, ostexponierte Karwand, unterer Bereich; BWS","SMNKfungicoll","GBIF",NA
1676074640,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.553889,50.081111,NA,2015,"1",21,"Germany","221376",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1288176903,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.395283,50.936583,NA,2015,"10",14,"Germany","42886",NA,"FR","bei Hinterhermsdorf, Weißbachtal","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1288176904,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.395283,50.936583,NA,2015,"10",14,"Germany","42895",NA,"FR","bei Hinterhermsdorf, Weißbachtal","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1061246722,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.301667,50.926533,NA,2014,"10",29,"Germany","38435",NA,"FR","zwischen Arnstein & Kleinstein, Schandauer Straße unmittelbar vor der Kirnitzschtalstraße","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1061246723,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.1825,50.95195,NA,2014,"10",28,"Germany","38385",NA,"FR","Schwarzbachtal, zwischen zweiter & dritter Brücke","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1052819034,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.034717,50.968883,NA,2013,"10",18,"Germany","38462",NA,"FR","Uttewalder Grund","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
918802979,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.32,50.915,NA,2012,"10",11,"Germany","33941",NA,"FR","Elbsandsteingebirge, mittleres Kirnitzschtal, bei der Thorwalder Brücke","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
918802983,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.333883,50.908333,NA,2012,"10",11,"Germany","33955",NA,"FR","Elbsandsteingebirge, mittleres Kirnitzschtal zwischen Marienquelle und niederer Schleuse","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
918802975,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.891117,52.690283,NA,2011,"4",22,"Poland","35860",NA,"FR","Bia&#322;owie&#380a, Wanderweg nördlich vom Reservat ""Bagno Wysokie""","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
