"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","institutionCode","locality","collectionCode","stateProvince","recordedBy","DB","BBarcode"
1833735198,"828a3d8c-f762-11e1-a439-00145eb45e9a",12.536917,53.696967,2017,"11",4,"Germany","50528-771","FR","Karstorf","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",NA
1212241801,"85739778-f762-11e1-a439-00145eb45e9a",13.6933,52.2,2005,"5",2,"Germany","67624","B","GERMANY, Brandenburg: Radeberge, N of Kleinköris at road Buchholz-Zeesen. Alt. c. 50 m.","Lichen Herbarium Berlin",NA,"H. Sipman & P. v.d. Boom","GBIF",NA
918805320,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.633333,53.266667,2005,"5",25,"Germany","22264","FR","Mark Brandenburg, Uckermark, Boitzenburger Tiergarten","Herbarium Senckenbergianum (FR) - Fungi",NA,NA,"GBIF",NA
1100008386,"858c1c6c-f762-11e1-a439-00145eb45e9a",5.75,53.049999,2002,"7",16,"Netherlands","M-0045195 / 478476 / 174770","SNSB-M","Netherlands, Prov. Friesland, Oudkerk, along road in the village Coord.: 188.6 -586.5 Block: 6-32-44.","BSMlichfungicoll",NA,"Aptroot, A. (no. 54756)","GBIF",NA
1100008408,"858c1c6c-f762-11e1-a439-00145eb45e9a",5.75,53.049999,2002,"7",16,"Netherlands","M-0045714 / 487435 / 181360","SNSB-M","Netherlands, Prov. Friesland, Oudkerk, along road in the village. Coord. 188.6-586.5 Block: 6-32-44.","BSMlichfungicoll",NA,"Aptroot, A. (no. 54755)","GBIF",NA
NA,NA,13.844849,53.157172,2001,"24-Apr",NA,"GERMANY","60982","BERLIN_DB","GERMANY, Brandenburg, Landkr. Uckermark. Suckow, former estate park. Alt. c. 50 m.",NA,NA,"H. Sipman","BERLIN_DB",NA
NA,NA,7.449327,53.403314,1986,"1 Jun.",NA,"GERMANY","20067","BERLIN_DB","DEUTSCHLAND, Niedersachsen. Ihlower Forst, Abt. 12. An Quercus.",NA,NA,"Hans-Wilhelm LINDERS","BERLIN_DB",NA
NA,NA,7.794951,53.290895,1986,"7 Jun.",NA,"GERMANY","20154","BERLIN_DB","DEUTSCHLAND, Niedersachsen. Landkreis LEER, Kleinsander. An Quercus.",NA,NA,"Hans-Wilhelm LINDERS","BERLIN_DB",NA
2270755134,"98bceab6-3c3e-4163-945d-6ca10576ebf1",9.1,48.65,1981,"7",25,"Germany","559518","ASU","Waldenbuch, in Schönaichtal",NA,"Baden-Württemberg","T.H. Nash III","GBIF",NA
442148112,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.760278,47.994167,1916,"4",21,"Germany","B 60 0002416 / 143786 / 89368","B","Baden: Mooswald bei Freiburg","Blettaucoll",NA,"Lettau, G.","GBIF",NA
442148113,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.675,47.660557,1911,"10",18,"Germany","B 60 0002417 / 143787 / 89369","B","Baden: Röttler Wald bei Rümmingen","Blettaucoll",NA,"Lettau, G.","GBIF",NA
442148111,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.944445,50.838333,1907,"5",19,"Germany","B 60 0002414 / 143784 / 89367","B","Thüringen: ""Hain"" bei Arnstadt, 380 m.","Blettaucoll",NA,"Lettau, G.","GBIF",NA
