"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","stateProvince","collectionCode","DB","BBarcode","b1test","name"
1676079733,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.01725,47.960633,2016,"9",15,"France","bei Gerbholz, s von Mittlach über dem Tal des Vorderen Salzbaches","49095-771",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,62,"Thelotrema lepadinum"
1676079690,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.37445,48.95825,2015,"3",28,"Germany","Nationalpark Bayerischer Wald, ca. 5 km NNE von Spiegelau und 4,5 km NE von Althütte, Forstabteilung Schönort, Transekt 2 E der Schwarzachstraße, 15 m W von Aufnahmefläche 8, Baum-Nr. 99-5","263840",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,59,"Thelotrema lepadinum"
1676079694,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.374433,48.95805,2015,"3",28,"Germany","Nationalpark Bayerischer Wald, ca. 5 km NNE von Spiegelau und 4,5 km NE von Althütte, Forstabteilung Schönort, Transekt 2 E der Schwarzachstraße, 5 m W von Aufnahmefläche 10, Baum-Nr. 99-2","263801",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,59,"Thelotrema lepadinum"
1676079730,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.51345,48.885033,2014,"11",17,"Germany","Regierungsbezirk Niederbayern, Nationalpark Bayerischer Wald, ca. 1 km SE Weidhütte (Probenfläche 899)","264308",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,53,"Thelotrema lepadinum"
1052819158,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.386667,50.898883,2013,"10",17,"Czechia","Kirnitzschklamm","38479",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,73,"Thelotrema lepadinum"
1052819159,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.287633,50.9175,2013,"10",29,"Germany","Großer Zschand, nahe dem Eingang","38539",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,76,"Thelotrema lepadinum"
918998631,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.320833,50.914717,2012,"10",11,"Germany","Elbsandsteingebirge, mittleres Kirnitzschtal, bei der Thorwalder Brücke","33938",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,74,"Thelotrema lepadinum"
1045146880,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.8,52.709717,2011,"4",22,"Poland","Bia&#322;owie&#380;a, am Wanderweg ""&#379;ebra &#379;ubra""","35980",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,70,"Thelotrema lepadinum"
991959872,"828a3d8c-f762-11e1-a439-00145eb45e9a",23.741667,52.725,2011,"4",23,"Poland","Feuchtwald südwestlich von Teremiski","37278",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,70,"Thelotrema lepadinum"
1212247152,"85739778-f762-11e1-a439-00145eb45e9a",9.4833,53.4167,2008,"4",5,"Germany","DEUTSCHLAND, Niedersachsen: Landkr. Stade. Braken NSG & FFH, S of Harsefeld. MTB 2522/4B5. Elev. 50 m.","103377","H. Sipman","B",NA,"Lichen Herbarium Berlin","GBIF",NA,84,"Thelotrema lepadinum"
