"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","stateProvince","collectionCode","DB","BBarcode","b1test","name"
1212249064,"85739778-f762-11e1-a439-00145eb45e9a",8.2833,48.65,1961,"4",4,"Germany","GERMANY, Baden-Württemberg: Nordschwarzwald, 'Alten Schwallung' unterhalb Herrenwies. Alt. 750 m.","178743","H. Reznik","B",NA,"Lichen Herbarium Berlin","GBIF",NA,69,"Thelotrema lepadinum"
NA,NA,8.186558,48.64114,1961,"April",NA,"GERMANY","GERMANY, Baden-Württemberg: Nordschwarzwald, between Omerskopf and Unterstmatt, Gewann Wittig.","178744","H. Reznik","BERLIN_DB",NA,NA,"BERLIN_DB","B 60 0174789",78,"Thelotrema lepadinum"
918998630,"828a3d8c-f762-11e1-a439-00145eb45e9a",22.68055,49.163883,1957,"6",22,"Poland","Bieszczady Zachodnie, prope vicum Pszczeliny","795",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,54,"Thelotrema lepadinum"
1068342,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.798333,54.722778,1943,"5",28,"Denmark","Fuglsang","1186402","M. Skytte-Christiansen","LD","Lolland","General","GBIF",NA,82,"Thelotrema lepadinum"
1068265,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.835,54.902778,1939,"8",15,"Denmark","Als: Sønderskov","1109622","Ove Almborn","LD","Jylland","General","GBIF",NA,82,"Thelotrema lepadinum"
918998551,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.034717,50.973333,1937,"6",10,"Germany","Elbsandsteingebirge, Wehlen, im Uttawalder Grund oberhalb ""Felsentor""","800",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,80,"Thelotrema lepadinum"
1212248659,"85739778-f762-11e1-a439-00145eb45e9a",12.2333,54.2,1936,"6",30,"Germany","DEUTSCHLAND, Mecklenburg-Vorpommern: Rostocker Heide westlich Graal.","118672","V. J. Grummann","B",NA,"Lichen Herbarium Berlin","GBIF",NA,84,"Thelotrema lepadinum"
918998561,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.246117,49.093617,1936,"7",8,"Germany","Bayrischer Wald, Zwieseler Waldhaus","801",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,60,"Thelotrema lepadinum"
918998566,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.154717,49.098333,1936,"7",9,"Germany","Bayrischer Wald, Großer Arbersee","797",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,40,"Thelotrema lepadinum"
918998570,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.38695,50.909167,1935,"4",22,"Germany","Sächsische Schweiz, Hinterhermsdorf, im Kirnitzschtal unterhalb ""Obere Schleuse""","803",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,73,"Thelotrema lepadinum"
NA,NA,10.970913,50.507532,1934,"30. Apr.",NA,"GERMANY","DEUTSCHLAND, Thüringen: Thüringer Wald, Masserberg, Weg zur Werraquelle.","6590","J. Mrugowsky","BERLIN_DB",NA,NA,"BERLIN_DB","B 60 0133042",62,"Thelotrema lepadinum"
NA,NA,13.483289,48.862862,1923,"6-Jul",NA,"GERMANY","DEUTSCHLAND, Bayern: Böhmerwald, bei Hohenau bei der Sägemühle.","119131","V. J. Grummann","BERLIN_DB",NA,NA,"BERLIN_DB","",63,"Thelotrema lepadinum"
NA,NA,13.464913,48.927749,1923,"6-Jul",NA,"GERMANY","DEUTSCHLAND, Bayern: Böhmerwald, unterhalb Waldhäuser.","119139","V. J. Grummann","BERLIN_DB",NA,NA,"BERLIN_DB","",42,"Thelotrema lepadinum"
442148460,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.107778,47.906666,1921,"8",9,"Germany","Schwarzwald: Ravennaschlucht bei Höllsteig (Höllental), 800 m.","B 60 0028172 / 145738 / 90063","Lettau, G.","B",NA,"Blettaucoll","GBIF",NA,65,"Thelotrema lepadinum"
442148437,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.934166,47.698334,1912,"9",15,"Germany","Schwarzwald: Baden: 1) Gersbacher Waldungen: ""Dickicht"" nahe Fetzenbergwald. 900-1000 m.","B 60 0002741 / 143872 / 89393","Lettau, G.","B",NA,"Blettaucoll","GBIF",NA,70,"Thelotrema lepadinum"
442148536,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.001111,47.740276,1910,"8",29,"Germany","[Schwarzwald etc.] Baden: 1) Todtmoos - Gersbach","B 60 0128120 / 151972 / 92445","Lettau, G.","B",NA,"Blettaucoll","GBIF",NA,63,"Thelotrema lepadinum"
442148554,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.789444,50.756943,1909,"5",16,"Germany","Thüringer Wald: 7) Sieglitzgrund bei Dörrberg","B 60 0128185f / 152857 / 92763","Lettau, G.","B",NA,"Blettaucoll","GBIF",NA,67,"Thelotrema lepadinum"
442148551,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.970834,50.521389,1908,"5",27,"Germany","Thüringer Wald: 4) Masserberg gegen ""Hohe Heide"" (820 m.)","B 60 0128185c / 152851 / 92760","Lettau, G.","B",NA,"Blettaucoll","GBIF",NA,62,"Thelotrema lepadinum"
442148552,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.616389,50.794724,1908,"7",5,"Germany","Thüringer Wald: 5) Marderbachtal bei Dietharz (500 m.)","B 60 0128185d / 152853 / 92761","Lettau, G.","B",NA,"Blettaucoll","GBIF",NA,70,"Thelotrema lepadinum"
442148557,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.8625,50.636391,1908,"9",27,"Germany","Thüringer Wald: 2) Oberhalb Stützerbach, 700 m.","B 60 0128186a / 152925 / 92797","Lettau, G.","B",NA,"Blettaucoll","GBIF",NA,62,"Thelotrema lepadinum"
442148555,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.7,50.766666,1908,"10",11,"Germany","Thüringer Wald: 8) Triefstein im Ohratal, 550 m.","B 60 0128185g / 152859 / 92764","Lettau, G.","B",NA,"Blettaucoll","GBIF",NA,63,"Thelotrema lepadinum"
442148548,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.792222,50.679722,1907,"6",16,"Germany","Thüringer Wald: 1) Oberhalb Bhf. Gehlberg (650 m.)","B 60 0128185 / 152692 / 92690","Lettau, G.","B",NA,"Blettaucoll","GBIF",NA,62,"Thelotrema lepadinum"
442148550,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.726666,50.705833,1907,"6",16,"Germany","Thüringer Wald: 3) Hoher Fels bei Oberhof (650-700 m.).","B 60 0128185b / 152849 / 92759","Lettau, G.","B",NA,"Blettaucoll","GBIF",NA,56,"Thelotrema lepadinum"
442148556,"8589cc8c-f762-11e1-a439-00145eb45e9a",10.858611,50.677776,1907,"9",13,"Germany","Thüringer Wald:  Oberhalb Manebach, am Gr. Hermannstein, 750 m.","B 60 0128186 / 152694 / 92691","Lettau, G.","B",NA,"Blettaucoll","GBIF",NA,63,"Thelotrema lepadinum"
918998623,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.985,47.923617,1900,NA,NA,"Germany","Schwarzwald, Zastler","10477",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,82,"Thelotrema lepadinum"
NA,NA,15.622222,50.767222,1882,"8.1882",NA,"Polen","Riesengebirge",NA,"?","BERLIN_HTL",NA,NA,"BERLIN_HTL",NA,30,"Thelotrema lepadinum"
1503041421,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",8,47,1871,"9",13,"Switzerland",NA,"C0052522F","R. Gisler","F",NA,"Botany","GBIF",NA,72,"Thelotrema lepadinum"
1503041379,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",10.5,51.5,1867,NA,NA,"Germany",NA,"C0052422F","E. Wenck","F",NA,"Botany","GBIF",NA,78,"Thelotrema lepadinum"
152957809,"89579e3e-f762-11e1-a439-00145eb45e9a",15.078565,45.699754,1800,"1",1,"Slovenia",NA,"F776192","Batič F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA,89,"Thelotrema lepadinum"
152957813,"89579e3e-f762-11e1-a439-00145eb45e9a",14.41197,45.899703,1800,"1",1,"Slovenia",NA,"F777012","Dolšak F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA,95,"Thelotrema lepadinum"
