"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","DB","BBarcode","b1test","name"
2235561933,"e553568e-2317-4592-8638-92e5ac93b40c",6.03639,48.62528,"54 Meurthe-et-Moselle",2018,"1",20,"France","NCY021815","Mahévas, Th.","CJBN","NCY",NA,"GBIF",NA,92,"Usnea florida"
1851914108,"c711c16e-8db5-4f66-aa06-03d9e472fbbc",10.137881,47.440586,NA,2016,"9",28,"Germany","MB-004970 / 804930 / 435438","Rexer, K.-H. (no. KR 14586)","MB","MBcoll","Deutschland, Bayern, Oberstdorf, Balderschwang, Scheueralpe","GBIF",NA,45,"Usnea florida"
1212253794,"85739778-f762-11e1-a439-00145eb45e9a",11.1175,47.4712,NA,2013,"7",27,"Germany","186205","Ch. Daute","B","Lichen Herbarium Berlin","GERMANY, Bayern: Partnachklamm near Garmisch-Partenkirchen.","GBIF",NA,71,"Usnea florida"
1100016787,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.407743,47.477001,NA,2010,"5",23,"Germany","M-0166944 / 580544 / 252395","Dornes, T.","SNSB-M","BSMlichenscoll","Deutschland, Bayern, Allgäuer Alpen: Das Hintersteiner Tal; der Orlmanger Berg, Südhang, Weg zum Schwarzenberg-Plateau. Ca. 1040 - 1140 m NN. MTB Koordinaten: 8528/4.","GBIF",NA,51,"Usnea florida"
1851916224,"c711c16e-8db5-4f66-aa06-03d9e472fbbc",10.162772,47.358334,NA,2008,"9",8,"Austria","MB-000955 / 722351 / 370347","Rexer, K.-H. (no. KR 9409)","MB","MBcoll","Österreich, Vorarlberg, Kleinwalsertal, Riezlern, Hirschegg, Marburger Haus; Wald nordwestlich des Marburger Hauses","GBIF",NA,40,"Usnea florida"
1100016792,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.189347,47.445354,NA,2005,"9",5,"Germany","M-0166942 / 580542 / 252393","Dornes, P. (no. K_OA 1069)","SNSB-M","BSMlichenscoll","Deutschland, Bayern, Allgäuer Alpen: Der Wannenkopf westl. von Obermaiselstein; Osthang, kleine Talung ca. 1 km östlich des Gipfels. In ca. 1300 m NN. MTB Koordinaten: 8527/3.","GBIF",NA,40,"Usnea florida"
1100016796,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.178576,47.398628,NA,2003,"5",30,"Germany","M-0166939 / 580539 / 252390","Dornes, P. (no. K_OA 0152)","SNSB-M","BSMlichenscoll","Deutschland, Bayern, Allgäuer Alpen:Die Kackenköpfe westl. von Oberstdorf; Verebnungsfläche am Westhang. In ca. 1180 m NN. MTB Koordinaten: 8626/2.","GBIF",NA,50,"Usnea florida"
1100016789,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.348692,47.421745,NA,2003,"9",7,"Germany","M-0166940 / 580540 / 252391","Werth, H.","SNSB-M","BSMlichenscoll","Deutschland, Bayern, Allgäuer Alpen: Das Obertal östlich des Nebelhornes; südöstlich der Daumen-Gruppe, Umgebung des 'Engeratsgrund-Hof. In ca. 1150 m NN. MTB Koordinaten: 8528/3.","GBIF",NA,28,"Usnea florida"
1100016797,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.219538,47.393074,NA,2003,"9",8,"Germany","M-0166941 / 580541 / 252392","Dornes, P. (no. K_OA 0590)","SNSB-M","BSMlichenscoll","Deutschland, Bayern, Allgäuer Alpen: Der Engenkopf-Grat westl. von Oberstdorf; Südhang des westl. Berges, gegenüber der Hochwald-Kuppe. In ca. 1170 m NN. MTB Koordinaten: 8627/1.","GBIF",NA,56,"Usnea florida"
152960087,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911995,46.399623,"Gorenjska",2002,"7",8,"Slovenia","F955051","Mrak T.","ULBF-AGR","FloVegSI-FLO","Vodični vrh","GBIF",NA,43,"Usnea florida"
