"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","DB","BBarcode"
2235561933,"e553568e-2317-4592-8638-92e5ac93b40c",6.03639,48.62528,"54 Meurthe-et-Moselle",2018,"1",20,"France","NCY021815","Mahévas, Th.","CJBN","NCY",NA,"GBIF",NA
1851914108,"c711c16e-8db5-4f66-aa06-03d9e472fbbc",10.137881,47.440586,NA,2016,"9",28,"Germany","MB-004970 / 804930 / 435438","Rexer, K.-H. (no. KR 14586)","MB","MBcoll","Deutschland, Bayern, Oberstdorf, Balderschwang, Scheueralpe","GBIF",NA
1212253794,"85739778-f762-11e1-a439-00145eb45e9a",11.1175,47.4712,NA,2013,"7",27,"Germany","186205","Ch. Daute","B","Lichen Herbarium Berlin","GERMANY, Bayern: Partnachklamm near Garmisch-Partenkirchen.","GBIF",NA
1100016787,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.407743,47.477001,NA,2010,"5",23,"Germany","M-0166944 / 580544 / 252395","Dornes, T.","SNSB-M","BSMlichenscoll","Deutschland, Bayern, Allgäuer Alpen: Das Hintersteiner Tal; der Orlmanger Berg, Südhang, Weg zum Schwarzenberg-Plateau. Ca. 1040 - 1140 m NN. MTB Koordinaten: 8528/4.","GBIF",NA
1851916224,"c711c16e-8db5-4f66-aa06-03d9e472fbbc",10.162772,47.358334,NA,2008,"9",8,"Austria","MB-000955 / 722351 / 370347","Rexer, K.-H. (no. KR 9409)","MB","MBcoll","Österreich, Vorarlberg, Kleinwalsertal, Riezlern, Hirschegg, Marburger Haus; Wald nordwestlich des Marburger Hauses","GBIF",NA
1100016792,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.189347,47.445354,NA,2005,"9",5,"Germany","M-0166942 / 580542 / 252393","Dornes, P. (no. K_OA 1069)","SNSB-M","BSMlichenscoll","Deutschland, Bayern, Allgäuer Alpen: Der Wannenkopf westl. von Obermaiselstein; Osthang, kleine Talung ca. 1 km östlich des Gipfels. In ca. 1300 m NN. MTB Koordinaten: 8527/3.","GBIF",NA
1100016796,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.178576,47.398628,NA,2003,"5",30,"Germany","M-0166939 / 580539 / 252390","Dornes, P. (no. K_OA 0152)","SNSB-M","BSMlichenscoll","Deutschland, Bayern, Allgäuer Alpen:Die Kackenköpfe westl. von Oberstdorf; Verebnungsfläche am Westhang. In ca. 1180 m NN. MTB Koordinaten: 8626/2.","GBIF",NA
1100016789,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.348692,47.421745,NA,2003,"9",7,"Germany","M-0166940 / 580540 / 252391","Werth, H.","SNSB-M","BSMlichenscoll","Deutschland, Bayern, Allgäuer Alpen: Das Obertal östlich des Nebelhornes; südöstlich der Daumen-Gruppe, Umgebung des 'Engeratsgrund-Hof. In ca. 1150 m NN. MTB Koordinaten: 8528/3.","GBIF",NA
1100016797,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.219538,47.393074,NA,2003,"9",8,"Germany","M-0166941 / 580541 / 252392","Dornes, P. (no. K_OA 0590)","SNSB-M","BSMlichenscoll","Deutschland, Bayern, Allgäuer Alpen: Der Engenkopf-Grat westl. von Oberstdorf; Südhang des westl. Berges, gegenüber der Hochwald-Kuppe. In ca. 1170 m NN. MTB Koordinaten: 8627/1.","GBIF",NA
152960087,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911995,46.399623,"Gorenjska",2002,"7",8,"Slovenia","F955051","Mrak T.","ULBF-AGR","FloVegSI-FLO","Vodični vrh","GBIF",NA
1100016781,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.40534,47.399559,NA,1997,"5",31,"Germany","M-0166943 / 580543 / 252394","Werth, S.","SNSB-M","BSMlichenscoll","Deutschland, Bayern, Allgäuer Alpen: Das Bärgündeles Tal nordwestl. der Hochvogel-Gruppe; Giebel, Nordosthang. MTB Koordinaten: 8528/3.","GBIF",NA
152959889,"89579e3e-f762-11e1-a439-00145eb45e9a",14.078639,46.39963,NA,1997,"6",8,"Slovenia","F778306","Trošt T.","ULBF-AGR","FloVegSI-FLO","Julijske Alpe","GBIF",NA
152959815,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745351,46.399616,NA,1997,"8",13,"Slovenia","F775882","Batič F.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959940,"89579e3e-f762-11e1-a439-00145eb45e9a",13.912003,46.299635,NA,1996,"5",24,"Slovenia","F780194","Primožič K.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959942,"89579e3e-f762-11e1-a439-00145eb45e9a",13.912003,46.299635,NA,1996,"7",20,"Slovenia","F780239","Primožič K.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
1273868034,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.599722,47.087222,"Steiermark",1996,"8",28,"Austria","1896200","E. I. Kärnefelt","LD","General","Sabathyhütte","GBIF",NA
152959896,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911986,46.499611,NA,1996,"10",13,"Slovenia","F778421","Surina B.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959917,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911986,46.499611,NA,1996,"10",13,"Slovenia","F778651","Surina B.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959881,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745342,46.499604,NA,1996,"12",10,"Slovenia","F778102","Surina B.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959827,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745342,46.499604,NA,1995,"10",10,"Slovenia","F776243","Batič F., Surina B.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959828,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745342,46.499604,NA,1995,"10",10,"Slovenia","F776255","Batič F., Surina B.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959854,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911995,46.399623,NA,1995,"10",3,"Slovenia","F776768","Batič F., Trošt T.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959866,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745351,46.399616,NA,1994,"9",29,"Slovenia","F776891","Batič F.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959845,"89579e3e-f762-11e1-a439-00145eb45e9a",15.411784,46.499674,NA,1992,"5",12,"Slovenia","F776504","Batič F.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
1563140376,"de4500ba-fe61-4a51-a0c6-e01c3016c6eb",9,46.916667,NA,1992,"6",20,"Switzerland","LSU00179002","Shirley C. Tucker","LSU","Lichens","Gumen ridge trail in Swiss Alps, above Linthal in Lin River valley S. of Glarus, about 60 km SE of Zurich","GBIF",NA
152959799,"89579e3e-f762-11e1-a439-00145eb45e9a",15.245139,46.499666,NA,1992,"9",22,"Slovenia","F775409","Koch M., Mayrhofer H., Batič F.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959796,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,NA,1992,"10",15,"Slovenia","F775141","Grube M.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959798,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,NA,1992,"10",13,"Slovenia","F775315","Grube M.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959834,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,NA,1992,"10",13,"Slovenia","F776355","Batič F.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959819,"89579e3e-f762-11e1-a439-00145eb45e9a",14.911851,46.499652,NA,1990,"10",17,"Slovenia","F776031","Batič F.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959830,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911995,46.399623,NA,1990,"12",11,"Slovenia","F776293","Batič F.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959838,"89579e3e-f762-11e1-a439-00145eb45e9a",15.411784,46.499674,NA,1989,"12",13,"Slovenia","F776398","Batič F.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959805,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,NA,1987,"9",15,"Slovenia","F775671","Batič F., Kruhar B.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
152959807,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,NA,1987,"9",15,"Slovenia","F775702","Batič F.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
1099104860,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.456594,48.049213,NA,1986,"10",24,"Germany","M-0103164 / 538102 / 221205","Schwaiger, J. (no. 1542)","SNSB-M","BSMlichenscoll","Oberbayern: Forstenrieder Park, südlich vor München.","GBIF",NA
1099107248,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.456594,48.049213,NA,1986,"10",24,"Germany","M-0196607 / 581242 / 253092","Schwaiger, J. (no. 1538)","SNSB-M","BSMlichenscoll","Oberbayern: Forstenrieder Park, südlich München; MTB 7934. Bestandseinteilung der Forsteinrichtung: I 11 d., ca. 580 m.","GBIF",NA
1099107190,"7ba21c92-f762-11e1-a439-00145eb45e9a",12.966871,47.544136,NA,1983,"3",24,"Germany","M-0196615 / 581246 / 253096","Wunder, H.","SNSB-M","BSMlichenscoll","Deutschland, Bayern: Landkreis Berchtesgadener Land, St. Bartholomä. Au umweit des Königsseeufers; ca. 605 m N.N. MTB 8443.","GBIF",NA
1099104833,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.159084,47.512981,NA,1983,"6",26,"Germany","M-0103153 / 538092 / 221195","Feuerer, T.","SNSB-M","BSMlichenscoll","Bayern, Reg. - Bez. Obb., Lkr. Garmisch-Partenkirchen, Estergebirge, Wank, am Weg vom Gipfel nach Gschwandt, etwas unterhalb der Abzweigung zur Esterberg Alm,1350 m.","GBIF",NA
1099107206,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.456594,48.049213,NA,1982,"2",27,"Germany","M-0196614 / 581245 / 253095","Triebel, D.","SNSB-M","BSMlichenscoll","Bayern, München. Forstenrieder Park südl. der Stadt.","GBIF",NA
1099104857,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.448376,48.025852,NA,1979,"3",18,"Germany","M-0103162 / 538100 / 221203","Hertel, R.","SNSB-M","BSMlichenscoll","Deutschland, Bayern, Lkr. München, Münchner Schotterebene: Forstenrieder Park: Eichenallee am südlichen Ende des Karolinengeräumts (ca. 3 km NNE Baierbrunn) (MTB 7934/4); 600 m.","GBIF",NA
1099106006,"7ba21c92-f762-11e1-a439-00145eb45e9a",14.377327,46.496559,NA,1979,"7",NA,"Austria","M-0196139 / 580844 / 252694","Follmann, B.","SNSB-M","BSMlichenscoll","Südösterreich, Karawanken: Hangwald unter den Matzentürmen unweit Waidisch, 1500 m.","GBIF",NA
1100016278,"858c1c6c-f762-11e1-a439-00145eb45e9a",11.120833,47.530834,NA,1977,"10",25,"Germany","M-0042684 / 6266 / 3968","Poelt, J.","SNSB-M","BSMlichfungicoll","Oberbayern  Ammergauer Alpen  Weg von der Notkarspitze nach Farchant","GBIF",NA
NA,NA,8.319563,47.842335,NA,1972,"16. Okt.",NA,"GERMANY","115149","J.-P. Frahm","BERLIN_DB",NA,"DEUTSCHLAND, Baden-Württemberg: Schwarzwald, Wutachschlucht bei der Rötenbachschlucht.","BERLIN_DB","B 60 0174321"
919003142,"828a3d8c-f762-11e1-a439-00145eb45e9a",20.27555,49.19695,NA,1968,"7",26,"Slovakia","24082",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Hohe Tatra, Dolina bieloj Vody Kezmarskej","GBIF",NA
1273866994,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",5.082222,49.894722,"Luxembourg",1964,"7",24,"Belgium","1886232","Onraedt Maurice","LD","General","Carlsbourg","GBIF",NA
1273866900,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",5.595556,49.647222,"Luxembourg",1963,"4",18,"Belgium","1885336","G. Thiry","LD","General","Buzenol","GBIF",NA
1100016274,"858c1c6c-f762-11e1-a439-00145eb45e9a",10.702778,47.569168,NA,1963,"6",29,"Germany","M-0042012 / 7422 / 4693","Doppelbaur, Hans","SNSB-M","BSMlichfungicoll","Bayern, Schwaben, Kreis Füssen: Bleckenau am Weg zum Rothmoos, auf Fagus in der Krone, 1250 m","GBIF",NA
1099104851,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.762931,47.547382,NA,1961,"10",24,"Germany","M-0103161 / 538099 / 221202","Schauer, T.","SNSB-M","BSMlichenscoll","Bleckenau bei Hohenschwangau Füssen, 1200 m.","GBIF",NA
1212253550,"85739778-f762-11e1-a439-00145eb45e9a",8.4333,48.6333,NA,1960,"11",28,"Germany","179582","H. Reznik","B","Lichen Herbarium Berlin","GERMANY, Baden-Württemberg: Nordschwarzwald, Gompelscheuer in Enztal valley.","GBIF",NA
919002461,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.411383,47.724717,NA,1959,"8",3,"Austria","9155",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Salzburger Alpen, Zinkenbachklamm unweit des Wolfgangsee's","GBIF",NA
NA,NA,8.135231,48.696757,NA,1959,"März",NA,"GERMANY","178785","H. Reznik","BERLIN_DB",NA,"GERMANY, Baden-Württemberg: Nordschwarzwald, Weißtannen im oberen Bühlott-Tal [bei Bühl im Landkreis Rastatt].","BERLIN_DB","B 60 0174714"
1099106012,"7ba21c92-f762-11e1-a439-00145eb45e9a",22.716637,49.083359,NA,1958,"7",27,"Poland","M-0196141 / 580846 / 252696","Glanc, K.","SNSB-M","BSMlichenscoll","Bieszczady Zachodnie, północne zbocze Falowej. Na korze w koronie jodły na skraju lasu bukowego. Montes Bieszczady Zachodnie in septentrionali declivitate montis Falowa. 750 m.s.m.","GBIF",NA
1273867076,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",22.22597,49.96282,"Podkarpackie",1958,"7",27,"Poland","1887576","K. Glanc","LD","General","No locality information available","GBIF",NA
1099105997,"7ba21c92-f762-11e1-a439-00145eb45e9a",16.337872,50.473305,NA,1957,"9",19,"Poland","M-0196128 / 580833 / 252683","Tobolewski, Z.R.","SNSB-M","BSMlichenscoll","Pieniny (pow. Nowy Targ), pasmo Pieninek. Na pniu i galęziach jodły poniżej Białych Skał. - Carpati Occ., iugum Pieniny, prope rupes Białe Skały. 670 m. s. m.","GBIF",NA
1273868035,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",20.30085,49.84203,"Malopolskie",1957,"9",19,"Poland","1896008","Z. Tobolewski","LD","General","No locality information available","GBIF",NA
1099104838,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.097307,47.409897,NA,1954,"6",NA,"Germany","M-0103160 / 538098 / 221201","Schacht","SNSB-M","BSMlichenscoll","Wettersteingebirge. Am Weg zum Schachen.","GBIF",NA
1099107183,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.774692,47.538048,NA,1954,"10",30,"Germany","M-0196611 / 581244 / 253094","Schröppel, A.","SNSB-M","BSMlichenscoll","Allgäu, Bleckenau Lk.s Füssen bei Hohenschwangau, bei den Hütten, ±1170 mtr.","GBIF",NA
NA,NA,9.534582,49.97143,NA,1954,"5. Aug.",NA,"GERMANY","100695","O. Behr","BERLIN_DB",NA,"DEUTSCHLAND, Bayern: Spessart. Rechtenbachtal: Mischwald. Alt. 250 m.","BERLIN_DB","B 60 0091145"
NA,NA,9.520194,49.974728,NA,1954,"5. Aug.",NA,"GERMANY","100697","O. Behr","BERLIN_DB",NA,"DEUTSCHLAND, Bayern: Spessart. Rechtenbachtal: Mischwald. Alt. 300 m.","BERLIN_DB","B 60 0091154"
