"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","DB","BBarcode","b1test","name"
919003142,"828a3d8c-f762-11e1-a439-00145eb45e9a",20.27555,49.19695,NA,1968,"7",26,"Slovakia","24082",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Hohe Tatra, Dolina bieloj Vody Kezmarskej","GBIF",NA,39,"Usnea florida"
1273866994,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",5.082222,49.894722,"Luxembourg",1964,"7",24,"Belgium","1886232","Onraedt Maurice","LD","General","Carlsbourg","GBIF",NA,82,"Usnea florida"
1273866900,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",5.595556,49.647222,"Luxembourg",1963,"4",18,"Belgium","1885336","G. Thiry","LD","General","Buzenol","GBIF",NA,87,"Usnea florida"
1100016274,"858c1c6c-f762-11e1-a439-00145eb45e9a",10.702778,47.569168,NA,1963,"6",29,"Germany","M-0042012 / 7422 / 4693","Doppelbaur, Hans","SNSB-M","BSMlichfungicoll","Bayern, Schwaben, Kreis Füssen: Bleckenau am Weg zum Rothmoos, auf Fagus in der Krone, 1250 m","GBIF",NA,70,"Usnea florida"
1099104851,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.762931,47.547382,NA,1961,"10",24,"Germany","M-0103161 / 538099 / 221202","Schauer, T.","SNSB-M","BSMlichenscoll","Bleckenau bei Hohenschwangau Füssen, 1200 m.","GBIF",NA,54,"Usnea florida"
1212253550,"85739778-f762-11e1-a439-00145eb45e9a",8.4333,48.6333,NA,1960,"11",28,"Germany","179582","H. Reznik","B","Lichen Herbarium Berlin","GERMANY, Baden-Württemberg: Nordschwarzwald, Gompelscheuer in Enztal valley.","GBIF",NA,73,"Usnea florida"
919002461,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.411383,47.724717,NA,1959,"8",3,"Austria","9155",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Salzburger Alpen, Zinkenbachklamm unweit des Wolfgangsee's","GBIF",NA,68,"Usnea florida"
NA,NA,8.135231,48.696757,NA,1959,"März",NA,"GERMANY","178785","H. Reznik","BERLIN_DB",NA,"GERMANY, Baden-Württemberg: Nordschwarzwald, Weißtannen im oberen Bühlott-Tal [bei Bühl im Landkreis Rastatt].","BERLIN_DB","B 60 0174714",100,"Usnea florida"
1099106012,"7ba21c92-f762-11e1-a439-00145eb45e9a",22.716637,49.083359,NA,1958,"7",27,"Poland","M-0196141 / 580846 / 252696","Glanc, K.","SNSB-M","BSMlichenscoll","Bieszczady Zachodnie, północne zbocze Falowej. Na korze w koronie jodły na skraju lasu bukowego. Montes Bieszczady Zachodnie in septentrionali declivitate montis Falowa. 750 m.s.m.","GBIF",NA,40,"Usnea florida"
1273867076,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",22.22597,49.96282,"Podkarpackie",1958,"7",27,"Poland","1887576","K. Glanc","LD","General","No locality information available","GBIF",NA,67,"Usnea florida"
