"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","locality","collectionCode","catalogNumber","recordedBy","institutionCode","DB","b1test","name","BBarcode"
621535,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",12.003611,54.762222,"Falster",1946,"7",15,"Denmark","Sønder Alslev","General","1045023","Ove Almborn","LD","GBIF",82,"Arthonia pruinata",NA
621537,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",10.844167,54.997222,"Langeland",1946,"7",18,"Denmark","Tranekær","General","1045087","Ove Almborn","LD","GBIF",82,"Arthonia pruinata",NA
621542,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.484444,54.833056,"Lolland",1946,"7",17,"Denmark","Knuthenborg","General","1045279","Ove Almborn","LD","GBIF",82,"Arthonia pruinata",NA
NA,NA,8.650271,49.871674,NA,1886,"12.6.1886",NA,NA,"Germany, Hesse, near Darmstadt",NA,"M-0302893","Roth","MUNICH_HTL","MUNICH_HTL",96,"Arthonia pruinata",NA
NA,NA,14.521414,46.576287,NA,1872,"9.1872",NA,NA,"Slovenia, between Krakovo and Wato, near Unterkrain",NA,"M-0302895","?Glovo","MUNICH_HTL","MUNICH_HTL",80,"Arthonia pruinata",NA
2237865947,"84d26682-f762-11e1-a439-00145eb45e9a",11.55212,54.72352,NA,1952,"4",13,"Denmark","Favrsted Skov",NA,"DMS-1004700","Mogens Skytte Christiansen",NA,"GBIF",81,"Arthonia ruana",NA
2237875533,"84d26682-f762-11e1-a439-00145eb45e9a",11.30596,54.86733,NA,1946,"7",17,"Denmark","Rosningen Skov",NA,"DMS-1013621","Ove Almborn",NA,"GBIF",82,"Arthonia ruana",NA
621186,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.495783,54.867183,"Jylland",1946,"7",20,"Denmark","Hønsnap Skov","General","1008749","Ove Almborn","LD","GBIF",80,"Arthonia ruana",NA
621221,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.9575,55,"Jylland",1946,"7",20,"Denmark","Als: Helved","General","1011504","Ove Almborn","LD","GBIF",81,"Arthonia ruana",NA
621718,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.296944,54.865833,"Lolland",1946,"7",17,"Denmark","Rosningen","General","1089646","Ove Almborn","LD","GBIF",82,"Arthonia ruana",NA
621737,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",11.666667,54.783333,"Lolland",1946,"7",16,"Denmark","Holmeskov Dyrehave","General","1091487","Ove Almborn","LD","GBIF",82,"Arthonia ruana",NA
621792,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.835,54.902778,"Jylland",1946,"7",20,"Denmark","Als: Sønderskov","General","1094606","Ove Almborn","LD","GBIF",82,"Arthonia ruana",NA
NA,NA,9.397062,49.930299,NA,1955,"10. Juli",NA,"GERMANY","DEUTSCHLAND, Bayern: Spessart, Weibersbrunn, Metzger. Alt. 300 m.",NA,"178234","O. Behr","BERLIN_DB","BERLIN_DB",86,"Bactrospora dryina","B 60 0024785"
1701215256,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",9.315456,48.831538,"Baden-Württemberg",1948,"6",NA,"Germany","Near Waiblingen","Botany","C0098461F","E. Putzler","F","GBIF",93,"Bactrospora dryina",NA
442140659,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.760278,47.994167,NA,1916,"4",21,"Germany","Baden: Mooswald bei Freiburg","Blettaucoll","B 60 0128003 / 149222 / 91334","Lettau, G.","B","GBIF",104,"Bactrospora dryina",NA
442143432,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.63,47.806667,NA,1914,"6",1,"Germany","Baden: Müllheimer Eichwald, bei Vogisheim","Blettaucoll","B 60 0024782 / 145648 / 90033","Lettau, G.","B","GBIF",97,"Bactrospora dryina",NA
442143428,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.730278,47.662777,NA,1913,"4",13,"Germany","Baden: 1) Südwestlich Hägelberg","Blettaucoll","B 60 0024781 / 145645 / 90032","Lettau, G.","B","GBIF",94,"Bactrospora dryina",NA
442143431,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.661667,47.612778,NA,1913,"5",22,"Germany","Baden:  4) Lörrach - Adelhausen","Blettaucoll","B 60 0024781c / 149785 / 91552","Lettau, G.","B","GBIF",97,"Bactrospora dryina",NA
442143430,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.790278,47.602222,NA,1912,"7",7,"Germany","Baden: 3) Minseln - Nordschwaben","Blettaucoll","B 60 0024781b / 149783 / 91551","Lettau, G.","B","GBIF",93,"Bactrospora dryina",NA
442143429,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.643611,47.64389,NA,1911,"10",12,"Germany","Baden: 2) Rümminger Wald","Blettaucoll","B 60 0024781a / 149781 / 91550","Lettau, G.","B","GBIF",97,"Bactrospora dryina",NA
NA,NA,7.664842,47.616288,NA,1910,NA,NA,"GERMANY","DEUTSCHLAND, Baden-Württemberg: Lörrach.",NA,"107137","G. Lettau","BERLIN_DB","BERLIN_DB",97,"Coniocarpon cinnabarinum","B 60 0143969"
