"Taxon","UniquePre1970","Unique1970Plus"
"Arthonia pruinata",5,0
"Arthonia ruana",7,10
"Bacidina neosquamulosa",0,15
"Bactrospora dryina",8,1
"Coniocarpon cinnabarinum",1,2
"Collema fasciculare",7,0
"Diploicia canescens",24,12
"Fellhanera bouteillei",8,9
"Flavoparmelia caperata",110,110
"Flavoparmelia soredians",0,17
"Fuscidea lightfootii",0,5
"Graphis elegans",1,0
"Halecania viridescens",0,6
"Hypotrachyna afrorevoluta",13,19
"Hypotrachyna laevigata",2,1
"Hypotrachyna revoluta",38,18
"Lecanographa amylacea",8,1
"Lecanora hybocarpa",1,2
"Melanohalea elegantula",30,50
"Melanohalea laciniatula",39,9
"Micarea adnata",2,6
"Micarea viridileprosa",0,20
"Nephroma laevigatum",7,6
"Opegrapha ochrocheila",2,6
"Opegrapha vermicellifera",21,38
"Parmelina quercina",42,20
"Parmelia submontana",16,35
"Parmotrema perlatum",18,9
"Parmotrema reticulatum",1,0
"Pertusaria hymenea",19,15
"Pertusaria trachythallina",4,0
"Phaeographis inusta",0,3
"Physcia tribacioides",0,1
"Porina leptalea",2,15
"Punctelia borreri",6,5
"Punctelia jeckeri",24,35
"Punctelia subrudecta",47,84
"Pyrenula nitida",44,50
"Pyrenula nitidella",13,13
"Ropalospora viridis",0,37
"Schismatomma decolorans",3,8
"Thelotrema lepadinum",30,42
"Usnea florida",78,29
