Barcode,type,Gen,Spec,Artname,Determinator,Year of determination,Collector(s),Vornummer,Collection number,Collection number add,Datum,Collecting year,decimalLatitude,decimalLongitude,MPN_Notes,Status,Loc (+ Hab),Habitat,Notes,Running nr,family,altebestimmungen,Country,Originaltext,Otherspecies,Exsiccate name,Exsiccate number,MTB,MTB-QU,MTB-RAST_UN,GRA-UN,LG,OW,BG,NS,LM,BM,edatum,Ablage Fungi,Etinummer,Higher Taxa,Exs abc,Exsiccate name long,Hoehe,Genus,Species,SpeciesAuthorteam,SpeciesBasionymAuthorteam,Rank,InfraEpi,BasionymAuthorteam,Authorteam,RefYear,Qualifier,QualifierRank,ParseName,BestNotes,Anmerkungen,TypusFk,SpecimenFamilie,HöTax,Fundort,DetermFk
B 60 0143965,,Arthonia,pruinata,Arthonia pruinata (Pers.) A.L.Smith,,,,,,,,,,,,Drop,DEUTSCHLAND: Baden.,,ex Follmann/? # 21010,107147,,Arthonia impolita,GERMANY,,,,,,,,,,,,,,,,,,,,,,Arthonia,pruinata,,,,,,,,,,Arthonia pruinata (Pers.) A.L. Sm.,,,,ARTHONIACEAE,LICHENES,Baden.,
B 60 0143963,,Arthonia,pruinata,Arthonia pruinata (Pers.) A.L.Smith,,,,,,,,,,,,Drop,"DEUTSCHLAND: Mitteldeutschland, Mischprobe.",,ex Follmann/? # 22011,107717,,Arthonia impolita,GERMANY,,,,,,,,,,,,,,,,,,,,,,Arthonia,pruinata,,,,,,,,,,Arthonia pruinata (Pers.) A.L. Sm.,,,,ARTHONIACEAE,LICHENES,"Mitteldeutschland, Mischprobe.",
,,Arthonia,ruana,Arthothelium ruanum (A. Massal.) Zwackh,H. Sipman,1986,Hans-Wilhelm LINDERS,,1116,,9-May,1986,53.405455,7.460112,,Keep,"DEUTSCHLAND, Niedersachsen: Ihlower Forst, Abt. 5. An Fraxinus (Baumstupf).",,,18973,,,GERMANY,,,,,2510,4,,,,,,,,,,,,,,,,Arthothelium,ruanum,,,,,,,,,,Arthothelium ruanum (A. Massal.) Zwackh,,,,ARTHONIACEAE,LICHENES,"Niedersachsen: Ihlower Forst, Abt. 5. An Fraxinus (Baumstupf).",2183
,,Arthonia,ruana,Arthothelium ruanum (A. Massal.) Zwackh,H. Sipman,1991,H. Sipman,,25705,,17. sept.,1989,47.689515,13.045332,,Keep,"GERMANY, BAYERN. Berchtesgaden, Marktschellenberg. Alt. 500 m. Along trail to Salzburger Hochthron, near the valley botton close to the main road. Mixed forest on E-facing slope. On Fagus root.",,,38715,,,GERMANY,,,,,,,,,,,,,,,,,,,,,500 m,Arthothelium,ruanum,,,,,,,,,,Arthothelium ruanum (A. Massal.) Zwackh,,,,ARTHONIACEAE,LICHENES,"BAYERN. Berchtesgaden, Marktschellenberg.",2183
,,Arthonia,ruana,Arthothelium ruanum (A. Massal.) Zwackh,H. Sipman,1991,H. Sipman,,25636,,15. sept.,1989,47.67829,12.819813,,Keep,"GERMANY, BAYERN. Berchtesgaden. Unterjettenberg. Alt. 550 m. Near margin of old deciduous forest on mountain slope with pasturefields. On Corylus.",,,38648,,,GERMANY,,,,,,,,,,,,,,,,,,,,,550 m,Arthothelium,ruanum,,,,,,,,,,Arthothelium ruanum (A. Massal.) Zwackh,,,,ARTHONIACEAE,LICHENES,BAYERN. Berchtesgaden. Unterjettenberg.,2183
B 60 0173944,,Arthonia,ruana,Arthothelium ruanum,A. Aptroot,2005,A. Aptroot,,62820,,18-Mar,2005,54.0815,13.44944,,Keep,"DEUTSCHLAND, Mecklenburg-Vorpommern: Greifswald, Eldena forest.",On Carpinus.,,109228,,,GERMANY,,,,,1946,2,,,,,,,,,,,,,,,,Arthothelium,ruanum,,,,,,,,,,Arthothelium ruanum,,,,ARTHONIACEAE,LICHENES,"Mecklenburg-Vorpommern: Greifswald, Eldena forest.",2280
B 60 0163658,,Arthonia,ruana,Arthothelium ruanum,H. Sipman,2008,H. Sipman,,56954,,6-Apr,2008,53.462403,8.96012,used Östliche Malse,Keep,"DEUTSCHLAND, Niedersachsen: Landkr. Cuxhaven. Malse forest, FFH area, outside NSG area, NW of Basdahl, S of Hipstedt. MTB 2519/2B3. Elev. 25 m.",On Corylus branch in humid deciduous forest on loamy soil.,,103389,,,GERMANY,,,,,,,,,8,E,53,N,58,28,,,,,,,25 m,Arthothelium,ruanum,,,,,,,,,,Arthothelium ruanum,,,,ARTHONIACEAE,LICHENES,"Niedersachsen: Landkr. Cuxhaven. Malse forest, FFH area, outside NSG area, NW of Basdahl, S of Hipstedt. MTB 2519/2B3.",2183
B 60 0163628,,Arthonia,ruana,Arthothelium ruanum,H. Sipman,2008,H. Sipman,,56924,,4-Apr,2008,53.42196,9.005089,,Keep,"DEUTSCHLAND, Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Franzhorn forest N of Brillit, Naturwald area. MTB 2520/3B1. Elev. 20-40 m","On Carpinus trunk in deciduous, mature, humid forest on loamy soil.",,103359,,,GERMANY,,,,,,,,,9,E,53,N,0,25,,,,,,,20-40 m,Arthothelium,ruanum,,,,,,,,,,Arthothelium ruanum,,,,ARTHONIACEAE,LICHENES,"Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Franzhorn forest N of Brillit, Naturwald area. MTB 2520/3B1.",2183
B 60 0130442,,Bacidina,neosquamulosa,Bacidina neosquamulosa,A. Aptroot,2005,H. Sipman,,53573,,11-Jun,2005,52.513562,13.364395,,Keep,"GERMANY, Berlin: Thiergarten gardens, near entrance of park maintenance yard at Bellevue str. Alt. ca. 40 m.",On Tilia trunk at road through deciduous forest.,,67757,,Micarea,GERMANY,,,,,,,,,,,,,,,,,,,,,ca. 40 m,Bacidina,neosquamulosa,,,,,,,,,,Bacidina neosquamulosa,,,,LECANORACEAE,LICHENES,"Berlin: Thiergarten gardens, near entrance of park maintenance yard at Bellevue str.",2280
B 60 0129252,,Bacidina,neosquamulosa,Bacidina neosquamulosa,A. Aptroot,2006,H. Sipman & P. van den Boom,,54594,,30-Apr,2006,52.489924,13.814533,,Keep,"GERMANY, Brandenburg: Rüdersdorf, industrial zone S of lake Stienitzsee, near cement works. Alt. 60 m.",Branches of young Quercus and Robinia trees at forest margin.,,85527,,,GERMANY,,,,,,,,,13,E,52,N,"50,00","29,50",,,,,,,60 m,Bacidina,neosquamulosa,,,,,,,,,,Bacidina neosquamulosa,,,,LECANORACEAE,LICHENES,"Brandenburg: Rüdersdorf, industrial zone S of lake Stienitzsee, near cement works.",2280
