"TaxonSearched","taxonKey","Occs","Pre1900","Pre1930","Pre1950","Pre1970","Pre1980","1800to1809","1810to1819","1820to1829","1830to1839","1840to1849","1850to1859","1860to1869","1870to1879","1880to1889","1890to1899","1900to1909","1910to1919","1920to1929","1930to1939","1940to1949","1950to1959","1960to1969","1970to1979","1980to1989","1990to1999","2000to2009","2010to2019"
"Arthonia pruinata",2592651,83,10,13,48,51,51,0,0,0,0,0,1,0,5,1,3,2,1,0,1,34,2,1,0,24,0,5,3
"Arthonia ruana",3548268,300,2,2,52,67,98,0,0,0,0,0,0,0,1,1,0,0,0,0,5,45,6,9,31,47,73,41,41
"Bacidina neosquamulosa",2607949,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,20
"Bactrospora dryina",2592877,71,21,32,36,39,41,0,0,0,0,0,3,12,2,4,0,0,10,1,0,4,1,2,2,8,12,5,5
"Coniocarpon cinnabarinum",2592737,41,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,35
"Collema fasciculare",6018259,41,3,7,8,9,9,0,1,0,0,0,2,0,0,0,0,0,1,3,1,0,1,0,0,6,20,6,0
"Degelia plumbea",2601276,257,32,52,100,117,124,0,0,0,0,1,8,2,5,5,11,2,7,11,35,13,5,12,7,18,60,48,7
"Diploicia canescens",2609244,273,13,18,94,103,110,2,0,0,0,0,1,1,1,7,1,0,1,4,37,39,7,2,7,32,59,42,30
"Fellhanera bouteillei",2607315,100,8,10,30,32,32,0,0,0,0,0,0,1,0,0,7,0,2,0,0,20,2,0,0,12,6,24,26
"Flavoparmelia caperata",2606178,959,40,98,156,202,263,2,0,1,2,0,5,7,8,5,10,24,17,17,28,30,24,22,61,139,224,134,199
"Flavoparmelia soredians",2606146,187,0,1,3,11,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,3,1,56,63,20,36
"Fuscidea lightfootii",2600730,68,1,1,1,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,5,10,46
"Graphis elegans",5260850,159,5,6,8,9,22,0,0,0,0,0,1,1,3,0,0,0,1,0,1,1,1,0,13,36,10,11,80
"Halecania viridescens",2607469,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,13
"Hypotrachyna afrorevoluta",3407756,133,5,6,21,27,41,0,0,0,0,0,0,2,1,0,2,0,0,1,3,12,5,1,14,18,16,4,54
"Hypotrachyna laevigata",2605521,129,3,10,16,34,44,0,0,0,0,0,0,1,0,1,1,0,6,1,3,3,5,13,10,4,19,24,38
"Hypotrachyna revoluta",6608355,449,9,23,108,151,199,0,0,1,1,0,0,3,0,0,4,0,10,4,4,81,10,33,48,45,49,59,97
"Lecanographa amylacea",2592791,79,16,24,38,48,49,0,0,0,0,0,2,4,6,3,1,0,7,1,0,14,8,2,1,11,9,4,6
"Lecanora hybocarpa",2607031,59,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,18,31
"Melanohalea elegantula",2605323,344,1,15,115,127,138,0,0,0,0,0,0,1,0,0,0,0,9,5,34,66,4,8,11,50,66,42,48
"Melanohalea laciniatula",3410699,389,0,28,255,274,291,0,0,0,0,0,0,0,0,0,0,2,20,6,105,122,11,8,17,28,45,12,13
"Micarea adnata",2607431,50,1,1,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,10,21,13
"Micarea viridileprosa",3402554,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18
"Nephroma laevigatum",7086494,1568,74,303,605,780,896,1,1,2,0,1,2,12,15,20,20,32,91,106,236,66,66,109,116,136,256,189,91
"Opegrapha ochrocheila",5258370,31,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,11,12
"Opegrapha vermicellifera",5258394,340,4,26,74,81,114,0,0,0,0,0,0,0,1,1,2,3,13,6,8,40,5,2,33,58,45,47,76
"Parmelina quercina",6607865,298,12,31,37,48,57,0,0,0,0,0,1,1,4,4,2,7,8,4,2,4,9,2,9,71,102,46,22
"Parmelia submontana",8429692,188,1,2,6,12,15,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,3,3,21,81,30,41
"Parmotrema perlatum",2606308,449,4,18,26,60,106,2,0,0,0,0,0,0,0,0,2,9,2,3,6,2,9,25,46,55,68,77,143
