"TaxonSearched","taxonKey","Occs","Pre1900","Pre1930","Pre1950","Pre1970","Pre1980","1800to1809","1810to1819","1820to1829","1830to1839","1840to1849","1850to1859","1860to1869","1870to1879","1880to1889","1890to1899","1900to1909","1910to1919","1920to1929","1930to1939","1940to1949","1950to1959","1960to1969","1970to1979","1980to1989","1990to1999","2000to2009","2010to2018"
"Arthonia pruinata",2592651,146,18,21,63,72,83,0,0,0,0,0,1,1,7,5,4,2,1,0,3,39,3,6,11,30,13,11,9
"Arthonia ruana",3548268,880,2,2,52,68,104,0,0,0,0,0,0,0,1,1,0,0,0,0,5,45,6,10,36,61,424,79,212
"Bacidina neosquamulosa",2607949,254,0,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,14,97,104
"Bactrospora dryina",2592877,108,21,34,41,46,46,0,0,0,0,0,3,11,2,5,0,0,12,1,0,7,1,4,0,8,28,14,12
"Coniocarpon cinnabarinum",2592737,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,174,54
"Collema fasciculare",6018259,56,6,10,11,12,12,0,1,0,0,0,2,0,0,0,0,0,1,3,1,0,1,0,0,8,20,8,8
"Degelia plumbea",2601276,598,33,53,101,118,126,0,0,0,0,1,8,2,5,5,12,2,7,11,35,13,5,12,8,20,165,145,142
"Diploicia canescens",2609244,16764,53,90,148,3068,5066,2,0,2,0,1,2,2,1,7,2,4,11,22,29,29,16,2904,1998,2294,4583,2513,2308
"Fellhanera bouteillei",2607315,445,18,20,41,121,128,0,0,0,0,0,0,1,0,0,8,0,2,0,0,21,2,78,7,31,39,104,143
"Flavoparmelia caperata",2606178,18330,171,267,353,3412,6189,4,1,2,2,0,6,10,13,8,15,26,26,44,44,42,37,3022,2777,1460,2449,3162,5070
"Flavoparmelia soredians",2606146,2596,0,1,5,406,488,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,396,82,141,369,412,1186
"Fuscidea lightfootii",2600730,4582,19,23,29,1107,1482,0,0,0,0,0,0,0,1,1,0,1,1,2,3,3,2,1076,375,285,393,1034,1388
"Graphis elegans",5260850,5403,70,97,116,1582,2439,1,0,2,0,0,1,1,3,3,5,0,2,25,15,4,14,1452,857,733,614,725,892
"Halecania viridescens",2607469,249,0,0,0,40,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,6,30,46,122
"Hypotrachyna afrorevoluta",3407756,6199,9,18,34,407,1324,0,0,0,0,0,0,3,2,0,3,3,5,1,3,13,12,361,917,514,899,1366,2096
"Hypotrachyna laevigata",2605521,2760,30,44,54,530,865,0,0,0,0,1,0,1,1,4,5,1,9,4,5,5,12,464,335,273,315,672,635
"Hypotrachyna revoluta",6608355,4494,51,74,169,1711,2027,0,0,0,1,0,0,2,1,0,8,0,8,15,13,82,9,1533,316,215,402,471,1379
"Lecanographa amylacea",2592791,3648,20,30,44,104,146,0,0,0,0,0,2,6,6,3,1,2,7,1,0,14,11,49,42,93,691,2175,543
"Lecanora hybocarpa",2607031,145,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,29,29,68
"Melanohalea elegantula",2605323,2166,1,16,117,553,688,0,0,0,0,0,0,1,0,0,0,1,9,5,32,69,5,431,135,118,190,217,953
"Melanohalea laciniatula",3410699,1826,0,28,258,726,856,0,0,0,0,0,0,0,0,0,0,2,20,6,105,125,12,456,130,101,234,297,338
"Micarea adnata",2607431,323,1,1,1,79,93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78,14,28,62,77,63
"Micarea viridileprosa",3402554,415,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,3,97,271
"Nephroma laevigatum",7086494,6507,159,372,639,1466,2082,7,0,0,10,4,3,16,16,31,16,30,83,100,209,58,69,758,616,449,1150,1177,1649
"Opegrapha ochrocheila",5258370,1534,2,6,7,437,568,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,429,131,142,240,309,275
"Opegrapha vermicellifera",5258394,4665,13,35,84,732,1074,0,0,0,0,0,1,0,1,2,3,3,13,6,8,41,7,641,342,305,635,1343,1308
"Parmelina quercina",6607865,533,11,27,35,42,48,0,0,0,0,0,1,0,4,4,2,5,7,4,3,5,6,1,6,90,173,80,142
"Parmelia submontana",8269373,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10,10
"Parmotrema perlatum",2606308,13064,73,138,199,2611,4325,2,0,0,0,0,7,4,4,3,9,14,26,25,26,35,38,2374,1714,809,1468,2304,4158
"Parmotrema pseudoreticulatum",3407489,43,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,5,28
"Parmotrema reticulatum",6017788,1477,14,16,25,578,737,0,0,0,0,0,0,0,0,3,0,0,0,2,0,9,3,550,159,95,162,275,208
"Pertusaria hymenea",2599924,7393,108,170,322,2023,3158,0,0,2,0,1,10,4,13,12,12,18,19,25,24,128,16,1685,1135,651,1008,1281,1295
"Pertusaria trachythallina",2600154,12,0,6,6,6,7,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,3,1,1
"Phaeographis inusta",7823436,711,11,13,15,143,188,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,126,45,47,103,189,184
"Physcia tribacioides",2608909,413,39,41,41,101,150,0,0,0,0,0,2,6,7,2,2,2,0,0,0,0,4,56,49,12,90,101,60
"Porina leptalea",2602246,1368,14,15,17,330,442,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,2,311,112,72,130,434,290
"Punctelia borreri",2605241,1880,15,38,43,452,616,0,0,0,0,0,0,0,0,0,4,0,3,20,4,1,3,406,164,72,63,300,829
"Punctelia jeckeri",2605247,3126,3,3,16,219,228,0,0,0,0,0,0,0,0,0,2,0,0,0,2,11,7,196,9,17,34,769,2078
"Punctelia subrudecta",2605209,13412,27,50,73,2729,4525,1,0,0,0,0,0,2,4,4,3,8,11,4,6,17,17,2639,1796,848,1889,2324,3826
"Pyrenula nitida",2598866,6244,68,142,278,369,473,0,0,1,0,0,9,8,22,9,14,20,34,20,24,112,10,81,104,71,1841,2055,1804
"Pyrenula nitidella",2598855,239,8,23,42,46,112,1,0,0,0,0,3,0,0,0,2,1,12,2,4,15,3,1,66,21,34,22,50
"Ropalospora viridis",8147668,887,0,1,1,67,83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,65,16,142,140,308,214
"Schismatomma decolorans",2592850,135,0,3,6,9,10,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,2,1,1,38,36,20,31
"Thelotrema lepadinum",2601714,15287,166,216,294,1618,2510,2,0,4,0,0,10,6,20,29,8,15,15,20,31,47,20,1304,892,900,3358,3635,4884
"Usnea florida",2606038,3553,148,224,285,696,1162,3,0,0,2,2,19,6,11,23,19,10,26,40,44,17,16,395,466,631,573,618,569
